Wavelength (nm),Sum,Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
281.3,2.080e+3,8.957e+2,1.184e+3,
281.6,2.241e+3,8.773e+2,1.363e+3,
281.8,2.436e+3,8.609e+2,1.575e+3,
282.1,2.862e+3,8.349e+2,2.028e+3,
282.3,3.228e+3,8.195e+2,2.408e+3,
282.6,3.865e+3,8.031e+2,3.062e+3,
282.8,4.320e+3,7.972e+2,3.523e+3,
283.1,4.985e+3,7.945e+2,4.191e+3,
283.3,5.377e+3,7.950e+2,4.582e+3,
283.6,5.835e+3,7.950e+2,5.039e+3,
283.8,6.030e+3,7.918e+2,5.239e+3,
284.1,6.149e+3,7.773e+2,5.372e+3,
284.3,6.119e+3,7.590e+2,5.360e+3,
284.6,5.940e+3,7.160e+2,5.224e+3,
284.8,5.752e+3,6.771e+2,5.075e+3,
285.1,5.411e+3,6.059e+2,4.805e+3,
285.3,5.164e+3,5.530e+2,4.611e+3,
285.6,4.795e+3,4.721e+2,4.322e+3,
285.8,4.565e+3,4.210e+2,4.144e+3,
286.1,4.267e+3,3.536e+2,3.914e+3,
286.3,4.108e+3,3.165e+2,3.791e+3,
286.6,3.931e+3,2.731e+2,3.657e+3,
286.8,3.848e+3,2.515e+2,3.597e+3,
287.1,3.758e+3,2.279e+2,3.530e+3,
287.3,3.702e+3,2.169e+2,3.485e+3,
287.6,3.595e+3,2.067e+2,3.389e+3,
287.8,3.496e+3,2.041e+2,3.292e+3,
288.1,3.294e+3,2.071e+2,3.087e+3,
288.3,3.125e+3,2.141e+2,2.911e+3,
288.6,2.834e+3,2.319e+2,2.602e+3,
288.8,2.625e+3,2.481e+2,2.377e+3,
289.1,2.309e+3,2.772e+2,2.032e+3,
289.3,2.108e+3,2.986e+2,1.809e+3,
289.6,1.833e+3,3.328e+2,1.501e+3,
289.8,1.676e+3,3.571e+2,1.319e+3,
290.1,1.490e+3,3.975e+2,1.093e+3,
290.3,1.407e+3,4.288e+2,9.784e+2,
290.6,1.355e+3,4.854e+2,8.699e+2,
290.8,1.375e+3,5.309e+2,8.440e+2,
291.1,1.489e+3,6.106e+2,8.788e+2,
291.3,1.620e+3,6.701e+2,9.495e+2,
291.6,1.880e+3,7.641e+2,1.116e+3,
291.8,2.083e+3,8.263e+2,1.257e+3,
292.1,2.404e+3,9.132e+2,1.491e+3,
292.3,2.615e+3,9.643e+2,1.650e+3,
292.6,2.911e+3,1.029e+3,1.882e+3,
292.8,3.096e+3,1.065e+3,2.031e+3,
293.1,3.370e+3,1.112e+3,2.258e+3,
293.3,3.564e+3,1.143e+3,2.421e+3,
293.6,3.890e+3,1.193e+3,2.697e+3,
293.8,4.135e+3,1.234e+3,2.901e+3,
294.1,4.534e+3,1.310e+3,3.224e+3,
294.3,4.804e+3,1.374e+3,3.430e+3,
294.6,5.180e+3,1.491e+3,3.689e+3,
