,Wavelength,Sum,Li I (2.0e-02),Li II (9.8e-01),Li III (1.7e-28)
256,241.73,0.001644,0.001644,1.0109999999999999e-36,0
257,241.78,0.0062439999999999996,0.0062439999999999996,8.057999999999999e-36,0
258,241.83,0.02178,0.02178,5.903999999999999e-35,0
259,241.88,0.06978999999999999,0.06978999999999999,3.9739999999999995e-34,0
260,241.93,0.2053,0.2053,2.4579999999999997e-33,0
261,241.98,0.5552,0.5552,1.396e-32,0
262,242.03,1.379,1.379,7.293999999999999e-32,0
263,242.08,3.1439999999999997,3.1439999999999997,3.3999999999999997e-31,0
264,242.13,6.586,6.586,1.5419999999999997e-30,0
265,242.18,12.67,12.67,6.247999999999999e-30,0
266,242.23,22.4,22.4,2.3259999999999998e-29,0
267,242.28,36.35,36.35,7.951999999999999e-29,0
268,242.33,54.21,54.21,2.499e-28,0
269,242.38,74.24,74.24,7.212e-28,0
270,242.43,93.39,93.39,1.912e-27,0
271,242.48,107.9,107.9,4.662e-27,0
272,242.53,114.5,114.5,1.044e-26,0
273,242.58,111.6,111.6,2.147e-26,0
274,242.63,99.96,99.96,4.06e-26,0
275,242.68,82.21,82.21,7.053999999999999e-26,0
276,242.73,62.1,62.1,1.126e-25,0
277,242.78,43.09,43.09,1.6500000000000001e-25,0
278,242.83,27.46,27.46,2.225e-25,0
279,242.88,16.08,16.08,2.754e-25,0
280,242.93,8.644,8.644,3.132e-25,0
281,242.98,4.269,4.269,3.274e-25,0
282,243.03,1.9369999999999998,1.9369999999999998,3.1440000000000003e-25,0
283,243.08,0.807,0.807,2.774e-25,0
284,243.13,0.3088,0.3088,2.25e-25,0
285,243.18,0.1086,0.1086,1.676e-25,0
286,243.23,0.03506,0.03506,1.146e-25,0
287,243.28,0.0103,0.0103,7.215e-26,0
288,243.33,0.0028309999999999997,0.0028309999999999997,4.17e-26,0
289,243.38,0.0007087,0.0007087,2.213e-26,0
290,243.43,0.0001629,0.0001629,1.07e-26,0
291,243.48,3.439e-05,3.439e-05,4.842e-27,0
292,243.53,6.666e-06,6.666e-06,1.994e-27,0
293,243.58,1.187e-06,1.187e-06,7.547000000000001e-28,0
294,243.63,1.9429999999999999e-07,1.9429999999999999e-07,2.6239999999999998e-28,0
295,243.68,2.918e-08,2.918e-08,8.383999999999999e-29,0
296,243.73,4.029e-09,4.029e-09,2.461e-29,0
297,243.78,5.107e-10,5.107e-10,6.64e-30,0
298,243.83,5.947e-11,5.947e-11,1.646e-30,0
299,243.88,6.36e-12,6.36e-12,3.7469999999999997e-31,0
300,243.93,6.248e-13,6.248e-13,7.842e-32,0
301,243.98,5.6379999999999996e-14,5.6379999999999996e-14,1.5069999999999998e-32,0
302,244.03,2.6629999999999997e-33,0,2.6629999999999997e-33,0
303,244.08,4.323e-34,0,4.323e-34,0
304,244.13,6.448e-35,0,6.448e-35,0
305,244.18,8.835e-36,0,8.835e-36,0
306,244.23,1.112e-36,0,1.112e-36,0
307,244.28,1.287e-37,0,1.287e-37,0
308,244.33,1.368e-38,0,1.368e-38,0
309,244.38,1.3369999999999997e-39,0,1.3369999999999997e-39,0
310,244.43,1.1e-40,0,1.1e-40,0
311,246.03,5.527999999999999e-14,5.527999999999999e-14,0,0
312,246.08,5.945e-13,5.945e-13,0,0
313,246.13,5.89e-12,5.89e-12,0,0
314,246.18,5.3700000000000006e-11,5.3700000000000006e-11,0,0
315,246.23,4.5289999999999996e-10,4.5289999999999996e-10,0,0
316,246.28,3.513e-09,3.513e-09,0,0
317,246.33,2.511e-08,2.511e-08,0,0
318,246.38,1.6539999999999999e-07,1.6539999999999999e-07,0,0
319,246.43,1.004e-06,1.004e-06,0,0
320,246.48,5.625e-06,5.625e-06,0,0
321,246.53,2.901e-05,2.901e-05,0,0
322,246.58,0.00013780000000000002,0.00013780000000000002,0,0
323,246.63,0.0006042,0.0006042,0,0
324,246.68,0.00243,0.00243,0,0
325,246.73,0.009081,0.009081,0,0
326,246.78,0.031139999999999998,0.031139999999999998,0,0
327,246.83,0.09842999999999999,0.09842999999999999,0,0
328,246.88,0.2867,0.2867,0,0
329,246.93,0.7699,0.7699,0,0
330,246.98,1.905,1.905,0,0
331,247.03,4.343999999999999,4.343999999999999,0,0
332,247.08,9.131,9.131,0,0
333,247.13,17.69,17.69,0,0
334,247.18,31.57,31.57,0,0
335,247.23,51.94,51.94,0,0
336,247.28,78.76,78.76,0,0
337,247.33,110.1,110.1,0,0
338,247.38,141.8,141.8,0,0
339,247.43,168.3,168.3,0,0
340,247.48,184.1,184.1,0,0
341,247.53,185.6,185.6,0,0
342,247.58,172.4,172.4,0,0
343,247.63,147.7,147.7,0,0
344,247.68,116.5,116.5,0,0
345,247.73,84.76,84.76,0,0
346,247.78,56.82,56.82,0,0
347,247.83,35.11,35.11,0,0
348,247.88,19.99,19.99,0,0
349,247.93,10.49,10.49,0,0
350,247.98,5.073,5.073,0,0
351,248.03,2.261,2.261,0,0
352,248.08,0.9288,0.9288,0,0
353,248.13,0.3517,0.3517,0,0
354,248.18,0.1227,0.1227,0,0
355,248.23,0.03946,0.03946,0,0
356,248.28,0.0117,0.0117,0,0
357,248.33,0.003193,0.003193,0,0
358,248.38,0.0008042,0.0008042,0,0
359,248.43,0.00018659999999999998,0.00018659999999999998,0,0
360,248.48,3.988e-05,3.988e-05,0,0
361,248.53,7.86e-06,7.86e-06,0,0
362,248.58,1.4269999999999998e-06,1.4269999999999998e-06,0,0
363,248.63,2.39e-07,2.39e-07,0,0
364,248.68,3.686000000000001e-08,3.686000000000001e-08,0,0
365,248.73,5.241e-09,5.241e-09,0,0
366,248.78,6.867000000000001e-10,6.867000000000001e-10,0,0
367,248.83,8.293e-11,8.293e-11,0,0
368,248.88,9.228e-12,9.228e-12,0,0
369,248.93,9.466e-13,9.466e-13,0,0
370,248.98,8.948999999999999e-14,8.948999999999999e-14,0,0
371,249.18,5.0719999999999995e-40,0,5.0719999999999995e-40,0
372,249.23,5.4359999999999995e-39,0,5.4359999999999995e-39,0
373,249.28,5.377999999999999e-38,0,5.377999999999999e-38,0
374,249.33,4.915e-37,0,4.915e-37,0
375,249.38,4.147999999999999e-36,0,4.147999999999999e-36,0
376,249.43,3.235e-35,0,3.235e-35,0
377,249.48,2.329e-34,0,2.329e-34,0
378,249.53,1.548e-33,0,1.548e-33,0
379,249.58,9.513e-33,0,9.513e-33,0
380,249.63,5.397e-32,0,5.397e-32,0
381,249.68,2.8269999999999997e-31,0,2.8269999999999997e-31,0
382,249.73,1.3669999999999999e-30,0,1.3669999999999999e-30,0
383,249.78,6.1159999999999996e-30,0,6.1159999999999996e-30,0
384,249.83,2.525e-29,0,2.525e-29,0
385,249.88,9.628999999999999e-29,0,9.628999999999999e-29,0
386,249.93,3.391e-28,0,3.391e-28,0
387,249.98,1.104e-27,0,1.104e-27,0
388,250.03,3.317999999999999e-27,0,3.317999999999999e-27,0
389,250.08,9.212e-27,0,9.212e-27,0
390,250.13,2.3640000000000003e-26,0,2.3640000000000003e-26,0
391,250.18,5.606e-26,0,5.606e-26,0
392,250.23,1.2280000000000002e-25,0,1.2280000000000002e-25,0
393,250.28,2.4800000000000003e-25,0,2.4800000000000003e-25,0
394,250.33,4.667e-25,0,4.667e-25,0
395,250.38,8.095000000000001e-25,0,8.095000000000001e-25,0
396,250.43,1.2e-24,0,1.2e-24,0
397,250.48,1.9340000000000004e-24,0,1.9340000000000004e-24,0
398,250.53,2.668e-24,0,2.668e-24,0
399,250.58,3.418e-24,0,3.418e-24,0
400,250.63,4.0730000000000004e-24,0,4.0730000000000004e-24,0
401,250.68,4.5229999999999995e-24,0,4.5229999999999995e-24,0
402,250.73,4.69e-24,0,4.69e-24,0
403,250.78,4.5519999999999996e-24,0,4.5519999999999996e-24,0
404,250.83,4.144e-24,0,4.144e-24,0
405,250.88,3.5479999999999995e-24,0,3.5479999999999995e-24,0
406,250.93,2.861e-24,0,2.861e-24,0
407,250.98,2.178e-24,0,2.178e-24,0
408,251.03,1.5630000000000002e-24,0,1.5630000000000002e-24,0
409,251.08,1.05e-24,0,1.05e-24,0
410,251.13,6.762e-25,0,6.762e-25,0
411,251.18,4.0600000000000004e-25,0,4.0600000000000004e-25,0
412,251.23,2.291e-25,0,2.291e-25,0
413,251.28,1.21e-25,0,1.21e-25,0
414,251.33,6.231e-26,0,6.231e-26,0
415,251.38,3.225e-26,0,3.225e-26,0
416,251.43,1.927e-26,0,1.927e-26,0
417,251.48,1.527e-26,0,1.527e-26,0
418,251.53,1.5359999999999998e-26,0,1.5359999999999998e-26,0
419,251.58,1.671e-26,0,1.671e-26,0
420,251.63,1.778e-26,0,1.778e-26,0
421,251.68,1.7809999999999997e-26,0,1.7809999999999997e-26,0
422,251.73,1.654e-26,0,1.654e-26,0
423,251.78,1.424e-26,0,1.424e-26,0
424,251.83,1.132e-26,0,1.132e-26,0
425,251.88,8.320000000000001e-27,0,8.320000000000001e-27,0
426,251.93,5.6519999999999996e-27,0,5.6519999999999996e-27,0
427,251.98,3.5469999999999996e-27,0,3.5469999999999996e-27,0
428,252.03,2.056e-27,0,2.056e-27,0
