,Wavelength,Sum,C I (6.9e-01),C II (3.1e-01),C III (8.0e-08)
4154,441.54,1.016e-20,0,0,1.016e-20
4155,441.59,6.1149999999999996e-21,0,0,6.1149999999999996e-21
4156,441.64,3.588e-21,0,0,3.588e-21
4157,441.69,2.052e-21,0,0,2.052e-21
4158,441.74,1.1430000000000001e-21,0,0,1.1430000000000001e-21
4159,441.79,6.209e-22,0,0,6.209e-22
4160,441.84,3.2860000000000006e-22,0,0,3.2860000000000006e-22
4161,441.89,1.695e-22,0,0,1.695e-22
4162,441.94,8.520999999999999e-23,0,0,8.520999999999999e-23
4163,441.99,4.1750000000000003e-23,0,0,4.1750000000000003e-23
4164,442.04,1.9929999999999998e-23,0,0,1.9929999999999998e-23
4165,442.09,9.273999999999999e-24,0,0,9.273999999999999e-24
4166,442.14,4.206e-24,0,0,4.206e-24
4167,442.19,1.859e-24,0,0,1.859e-24
4168,442.24,8.005999999999999e-25,0,0,8.005999999999999e-25
4169,442.29,3.361e-25,0,0,3.361e-25
4170,442.34,1.376e-25,0,0,1.376e-25
4171,442.39,5.521e-26,0,0,5.521e-26
4172,442.44,2.236e-26,0,0,2.236e-26
4173,442.49,1.077e-26,0,0,1.077e-26
4174,442.54,9.684e-27,0,0,9.684e-27
4175,442.59,1.7310000000000001e-26,0,0,1.7310000000000001e-26
4176,442.64,3.8689999999999995e-26,0,0,3.8689999999999995e-26
4177,442.69,8.827999999999999e-26,0,0,8.827999999999999e-26
4178,442.74,1.978e-25,0,0,1.978e-25
4179,442.79,4.325e-25,0,0,4.325e-25
4180,442.84,9.224e-25,0,0,9.224e-25
4181,442.89,1.918e-24,0,0,1.918e-24
4182,442.94,3.888e-24,0,0,3.888e-24
4183,442.99,7.684000000000001e-24,0,0,7.684000000000001e-24
4184,443.04,1.481e-23,0,0,1.481e-23
4185,443.09,2.782e-23,0,0,2.782e-23
4186,443.14,5.0959999999999994e-23,0,0,5.0959999999999994e-23
4187,443.19,9.101000000000001e-23,0,0,9.101000000000001e-23
4188,443.24,1.5850000000000002e-22,0,0,1.5850000000000002e-22
4189,443.29,2.691e-22,0,0,2.691e-22
4190,443.34,4.454e-22,0,0,4.454e-22
4191,443.39,7.189e-22,0,0,7.189e-22
4192,443.44,1.131e-21,0,0,1.131e-21
4193,443.49,1.736e-21,0,0,1.736e-21
4194,443.54,2.596e-21,0,0,2.596e-21
4195,443.59,3.7860000000000004e-21,0,0,3.7860000000000004e-21
4196,443.64,5.384e-21,0,0,5.384e-21
4197,443.69,7.465e-21,0,0,7.465e-21
4198,443.74,1.009e-20,0,0,1.009e-20
4199,443.79,1.33e-20,0,0,1.33e-20
4200,443.84,1.709e-20,0,0,1.709e-20
4201,443.89,2.141e-20,0,0,2.141e-20
4202,443.94,2.615e-20,0,0,2.615e-20
4203,443.99,3.1150000000000005e-20,0,0,3.1150000000000005e-20
4204,444.04,3.617e-20,0,0,3.617e-20
4205,444.09,4.0939999999999994e-20,0,0,4.0939999999999994e-20
4206,444.14,4.519e-20,0,0,4.519e-20
4207,444.19,4.864e-20,0,0,4.864e-20
4208,444.24,5.1040000000000004e-20,0,0,5.1040000000000004e-20
4209,444.29,5.2210000000000005e-20,0,0,5.2210000000000005e-20
4210,444.34,5.208e-20,0,0,5.208e-20
4211,444.39,5.065e-20,0,0,5.065e-20
4212,444.44,4.803e-20,0,0,4.803e-20
4213,444.49,4.4400000000000005e-20,0,0,4.4400000000000005e-20
4214,444.54,4.0019999999999996e-20,0,0,4.0019999999999996e-20
4215,444.59,3.517e-20,0,0,3.517e-20
4216,444.64,3.0139999999999997e-20,0,0,3.0139999999999997e-20
4217,444.69,2.5180000000000005e-20,0,0,2.5180000000000005e-20
4218,444.74,2.0510000000000003e-20,0,0,2.0510000000000003e-20
4219,444.79,1.629e-20,0,0,1.629e-20
4220,444.84,1.261e-20,0,0,1.261e-20
4221,444.89,9.519999999999999e-21,0,0,9.519999999999999e-21
4222,444.94,7.007e-21,0,0,7.007e-21
4223,444.99,5.028e-21,0,0,5.028e-21
4224,445.04,3.518e-21,0,0,3.518e-21
4225,445.09,2.4e-21,0,0,2.4e-21
4226,445.14,1.596e-21,0,0,1.596e-21
4227,445.19,1.0349999999999999e-21,0,0,1.0349999999999999e-21
4228,445.24,6.5460000000000005e-22,0,0,6.5460000000000005e-22
4229,445.29,4.0350000000000005e-22,0,0,4.0350000000000005e-22
4230,445.34,2.425e-22,0,0,2.425e-22
4231,445.39,1.4210000000000001e-22,0,0,1.4210000000000001e-22
4232,445.44,8.120999999999999e-23,0,0,8.120999999999999e-23
4233,445.49,4.524e-23,0,0,4.524e-23
4234,445.54,2.4569999999999997e-23,0,0,2.4569999999999997e-23
4235,445.59,1.301e-23,0,0,1.301e-23
4236,445.64,6.718e-24,0,0,6.718e-24
4237,445.69,3.3819999999999996e-24,0,0,3.3819999999999996e-24
4238,445.74,1.66e-24,0,0,1.66e-24
4239,445.79,7.9430000000000005e-25,0,0,7.9430000000000005e-25
4240,445.84,3.7059999999999996e-25,0,0,3.7059999999999996e-25
4241,445.89,1.686e-25,0,0,1.686e-25
4242,445.94,7.478000000000001e-26,0,0,7.478000000000001e-26
4243,445.99,3.234e-26,0,0,3.234e-26
4244,446.04,1.363e-26,0,0,1.363e-26
4245,446.09,5.6039999999999995e-27,0,0,5.6039999999999995e-27
4246,446.14,2.2460000000000002e-27,0,0,2.2460000000000002e-27
4247,446.19,8.777000000000002e-28,0,0,8.777000000000002e-28
4248,446.24,3.344e-28,0,0,3.344e-28
4249,446.29,1.2420000000000003e-28,0,0,1.2420000000000003e-28
4250,446.34,4.4989999999999995e-29,0,0,4.4989999999999995e-29
4251,446.39,1.5889999999999998e-29,0,0,1.5889999999999998e-29
4252,446.44,5.4699999999999996e-30,0,0,5.4699999999999996e-30
4253,446.49,1.8359999999999998e-30,0,0,1.8359999999999998e-30
4254,446.54,6.009e-31,0,0,6.009e-31
4255,446.59,1.9170000000000002e-31,0,0,1.9170000000000002e-31
4256,446.64,5.965e-32,0,0,5.965e-32
4257,446.69,1.81e-32,0,0,1.81e-32
4258,446.74,5.352e-33,0,0,5.352e-33
4259,446.79,1.543e-33,0,0,1.543e-33
4260,446.84,4.339e-34,0,0,4.339e-34
4261,446.89,1.1890000000000001e-34,0,0,1.1890000000000001e-34
4262,446.94,3.178e-35,0,0,3.178e-35
4263,446.99,8.282e-36,0,0,8.282e-36
4264,448.8,2.8689999999999997e-34,0,0,2.8689999999999997e-34
4265,448.85,2.22e-33,0,0,2.22e-33
4266,448.9,8.287e-33,0,0,8.287e-33
4267,448.95,3.21e-32,0,0,3.21e-32
4268,449.0,1.1449999999999998e-31,0,0,1.1449999999999998e-31
4269,449.05,3.9869999999999994e-31,0,0,3.9869999999999994e-31
4270,449.1,1.3549999999999999e-30,0,0,1.3549999999999999e-30
4271,449.15,4.4939999999999995e-30,0,0,4.4939999999999995e-30
4272,449.2,1.455e-29,0,0,1.455e-29
4273,449.25,4.598e-29,0,0,4.598e-29
4274,449.3,1.418e-28,0,0,1.418e-28
4275,449.35,4.2709999999999995e-28,0,0,4.2709999999999995e-28
4276,449.4,1.255e-27,0,0,1.255e-27
4277,449.45,3.601e-27,0,0,3.601e-27
4278,449.5,1.009e-26,0,0,1.009e-26
4279,449.55,2.757e-26,0,0,2.757e-26
4280,449.6,7.357999999999999e-26,0,0,7.357999999999999e-26
4281,449.65,1.9169999999999999e-25,0,0,1.9169999999999999e-25
4282,449.7,4.875e-25,0,0,4.875e-25
4283,449.75,1.2099999999999999e-24,0,0,1.2099999999999999e-24
4284,449.8,2.9330000000000003e-24,0,0,2.9330000000000003e-24
4285,449.85,6.939e-24,0,0,6.939e-24
4286,449.9,1.603e-23,0,0,1.603e-23
4287,449.95,3.614e-23,0,0,3.614e-23
4288,450.0,7.957e-23,0,0,7.957e-23
4289,450.05,1.7099999999999998e-22,0,0,1.7099999999999998e-22
4290,450.1,3.588e-22,0,0,3.588e-22
4291,450.15,7.351000000000001e-22,0,0,7.351000000000001e-22
4292,450.2,1.47e-21,0,0,1.47e-21
4293,450.25,2.871e-21,0,0,2.871e-21
4294,450.3,5.4750000000000004e-21,0,0,5.4750000000000004e-21
4295,450.35,1.0190000000000001e-20,0,0,1.0190000000000001e-20
4296,450.4,1.8530000000000004e-20,0,0,1.8530000000000004e-20
4297,450.45,3.2880000000000005e-20,0,0,3.2880000000000005e-20
4298,450.5,5.697999999999999e-20,0,0,5.697999999999999e-20
4299,450.55,9.642000000000001e-20,0,0,9.642000000000001e-20
4300,450.6,1.593e-19,0,0,1.593e-19
4301,450.65,2.5699999999999996e-19,0,0,2.5699999999999996e-19
4302,450.7,4.0490000000000006e-19,0,0,4.0490000000000006e-19
4303,450.75,6.228e-19,0,0,6.228e-19
4304,450.8,9.356e-19,0,0,9.356e-19
4305,450.85,1.3719999999999999e-18,0,0,1.3719999999999999e-18
4306,450.9,1.966e-18,0,0,1.966e-18
4307,450.95,2.7489999999999998e-18,0,0,2.7489999999999998e-18
4308,451.0,3.755e-18,0,0,3.755e-18
4309,451.05,5.008e-18,0,0,5.008e-18
4310,451.1,6.523e-18,0,0,6.523e-18
4311,451.15,8.297e-18,0,0,8.297e-18
4312,451.2,1.031e-17,0,0,1.031e-17
4313,451.25,1.25e-17,0,0,1.25e-17
4314,451.3,1.4799999999999998e-17,0,0,1.4799999999999998e-17
4315,451.35,1.7119999999999998e-17,0,0,1.7119999999999998e-17
4316,451.4,1.934e-17,0,0,1.934e-17
4317,451.45,2.133e-17,0,0,2.133e-17
4318,451.5,2.298e-17,0,0,2.298e-17
4319,451.55,2.417e-17,0,0,2.417e-17
4320,451.6,2.4829999999999998e-17,0,0,2.4829999999999998e-17
4321,451.65,2.49e-17,0,0,2.49e-17
4322,451.7,2.439e-17,0,0,2.439e-17
4323,451.75,2.333e-17,0,0,2.333e-17
4324,451.8,2.1790000000000002e-17,0,0,2.1790000000000002e-17
4325,451.85,1.987e-17,0,0,1.987e-17
4326,451.9,1.77e-17,0,0,1.77e-17
4327,451.95,1.5390000000000002e-17,0,0,1.5390000000000002e-17
4328,452.0,1.307e-17,0,0,1.307e-17
4329,452.05,1.084e-17,0,0,1.084e-17
4330,452.1,8.772000000000001e-18,0,0,8.772000000000001e-18
4331,452.15,6.934e-18,0,0,6.934e-18
4332,452.2,5.3520000000000005e-18,0,0,5.3520000000000005e-18
4333,452.25,4.033e-18,0,0,4.033e-18
