,Wavelength,Sum,B I (2.9e-01),B II (7.1e-01),B III (9.5e-07)
183,209.32,5272.0,5272.0,0,0
184,209.37,2143.0,2143.0,0,0
185,209.42,778.7,778.7,0,0
186,209.47,252.9,252.9,0,0
187,209.52,73.39,73.39,0,0
188,209.57,19.02,19.02,0,0
189,209.62,4.404,4.404,0,0
190,209.67,0.9103,0.9103,0,0
191,209.72,0.168,0.168,0,0
192,209.77,0.02767,0.02767,0,0
193,209.82,0.004069,0.004069,0,0
194,209.87,0.0005338,0.0005338,0,0
195,209.92,6.25e-05,6.25e-05,0,0
196,209.97,6.529e-06,6.529e-06,0,0
197,210.02,6.086e-07,6.086e-07,0,0
198,210.07,5.0599999999999996e-08,5.0599999999999996e-08,0,0
199,210.12,3.754e-09,3.754e-09,0,0
200,210.17,2.484e-10,2.484e-10,0,0
201,210.22,1.4550000000000001e-11,1.4550000000000001e-11,0,0
202,211.12,2.938e-17,0,2.938e-17,0
203,211.17,4.744e-16,0,4.744e-16,0
204,211.22,6.7379999999999994e-15,0,6.7379999999999994e-15,0
205,211.27,8.562e-14,0,8.562e-14,0
206,211.32,9.745e-13,0,9.745e-13,0
207,211.37,9.934e-12,0,9.934e-12,0
208,211.42,9.070999999999999e-11,0,9.070999999999999e-11,0
209,211.47,7.421e-10,0,7.421e-10,0
210,211.52,5.44e-09,0,5.44e-09,0
211,211.57,3.574e-08,0,3.574e-08,0
212,211.62,2.104e-07,0,2.104e-07,0
213,211.67,1.111e-06,0,1.111e-06,0
214,211.72,5.26e-06,0,5.26e-06,0
215,211.77,2.234e-05,0,2.234e-05,0
216,211.82,8.512e-05,0,8.512e-05,0
217,211.87,0.0002912,0,0.0002912,0
218,211.92,0.0008945,0,0.0008945,0
219,211.97,0.0024690000000000003,0,0.0024690000000000003,0
220,212.02,0.006125,0,0.006125,0
221,212.07,0.013669999999999998,0,0.013669999999999998,0
222,212.12,0.02745,6.102999999999999e-17,0.02745,0
223,212.17,0.04965,4.993e-15,0.04965,0
224,212.22,0.08091,7.679e-14,0.08091,0
225,212.27,0.1189,1.0580000000000001e-12,0.1189,0
226,212.32,0.1576,1.307e-11,0.1576,0
227,212.37,0.1886,1.4469999999999998e-10,0.1886,0
228,212.42,0.2039,1.436e-09,0.2039,0
229,212.47,0.1991,1.2770000000000001e-08,0.1991,9.434999999999999e-28
230,212.52,0.1757,1.018e-07,0.1757,1.984e-26
231,212.57,0.1401,7.27e-07,0.1401,2.9640000000000003e-25
232,212.62,0.101,4.654e-06,0.101,3.971e-24
233,212.67,0.06581000000000001,2.67e-05,0.06577999999999999,4.7689999999999996e-23
234,212.72,0.03884,0.00013730000000000003,0.03871,5.135e-22
235,212.77,0.0212,0.0006326000000000001,0.020569999999999998,4.957e-21
236,212.82,0.01248,0.002613,0.009862000000000001,4.289e-20
237,212.87,0.013940000000000001,0.00967,0.004267,3.328e-19
238,212.92,0.03374,0.032080000000000004,0.0016640000000000001,2.314e-18
239,212.97,0.09596,0.09537000000000001,0.0005849000000000001,1.443e-17
240,213.02,0.2543,0.2541,0.0001851,8.067e-17
241,213.07,0.6069,0.6068,5.273e-05,4.0430000000000003e-16
242,213.12,1.2990000000000002,1.2990000000000002,1.351e-05,1.816e-15
