,Wavelength,Sum,N I (9.5e-01),N II (5.3e-02),N III (2.7e-10)
221,212.77,7.67e-07,0,7.67e-07,4.4420000000000004e-26
222,212.82,1.2590000000000001e-06,0,1.2590000000000001e-06,1.1690000000000001e-26
223,212.87,1.8519999999999998e-06,0,1.8519999999999998e-06,2.795e-27
224,212.92,2.439e-06,0,2.439e-06,6.072e-28
225,212.97,2.8780000000000002e-06,0,2.8780000000000002e-06,1.198e-28
226,213.02,3.041e-06,0,3.041e-06,2.1459999999999998e-29
227,213.07,2.881e-06,0,2.881e-06,3.486e-30
228,213.12,2.458e-06,0,2.458e-06,5.132e-31
229,213.17,1.95e-06,0,1.95e-06,6.981999999999999e-32
230,213.22,1.719e-06,0,1.719e-06,2.075e-32
231,213.27,2.69e-06,0,2.69e-06,9.392000000000001e-32
232,213.32,7.634e-06,0,7.634e-06,6.213e-31
233,213.37,2.448e-05,0,2.448e-05,3.734e-30
234,213.42,7.328e-05,0,7.328e-05,2.023e-29
235,213.47,0.0001979,0,0.0001979,9.886999999999999e-29
236,213.52,0.0004796,0,0.0004796,4.368999999999999e-28
237,213.57,0.001042,0,0.001042,1.749e-27
238,213.62,0.002031,0,0.002031,6.361999999999999e-27
239,213.67,0.003551,0,0.003551,2.108e-26
240,213.72,0.005575,0,0.005575,6.384e-26
241,213.77,0.007876000000000001,0,0.007876000000000001,1.774e-25
242,213.82,0.01006,0,0.01006,4.536e-25
243,213.87,0.01175,0,0.01175,1.072e-24
244,213.92,0.01281,0,0.01281,2.347e-24
245,213.97,0.01353,0,0.01353,4.771e-24
246,214.02,0.01457,0,0.01457,9.024e-24
247,214.07,0.01659,0,0.01659,1.591e-23
248,214.12,0.019780000000000002,0,0.019780000000000002,2.622e-23
249,214.17,0.02358,0,0.02358,4.0590000000000005e-23
250,214.22,0.02682,0,0.02682,5.956e-23
251,214.27,0.02822,0,0.02822,8.414e-23
252,214.32,0.027,0,0.027,1.1709999999999998e-22
253,214.37,0.02332,0,0.02332,1.645e-22
254,214.42,0.01811,0,0.01811,2.3659999999999998e-22
255,214.47,0.012629999999999999,0,0.012629999999999999,3.467e-22
256,214.52,0.007906,0,0.007906,5.066e-22
257,214.57,0.004438,0,0.004438,7.182999999999999e-22
258,214.62,0.002235,0,0.002235,9.673000000000001e-22
259,214.67,0.001009,0,0.001009,1.219e-21
260,214.72,0.00040869999999999996,0,0.00040869999999999996,1.4250000000000001e-21
261,214.77,0.0001485,0,0.0001485,1.538e-21
262,214.82,4.836e-05,0,4.836e-05,1.53e-21
263,214.87,1.413e-05,0,1.413e-05,1.4009999999999999e-21
264,214.92,3.7010000000000002e-06,0,3.7010000000000002e-06,1.18e-21
265,214.97,8.695999999999999e-07,0,8.695999999999999e-07,9.155e-22
266,215.02,1.832e-07,0,1.832e-07,6.538999999999999e-22
267,215.07,3.463e-08,0,3.463e-08,4.304e-22
268,215.12,5.8689999999999995e-09,0,5.8689999999999995e-09,2.611e-22
269,215.17,8.927e-10,0,8.927e-10,1.46e-22
270,215.22,1.252e-10,0,1.252e-10,7.531e-23
271,215.27,3.2479999999999994e-11,0,3.2479999999999994e-11,3.581e-23
272,215.32,7.977e-11,0,7.977e-11,1.57e-23
273,215.37,3.1160000000000004e-10,0,3.1160000000000004e-10,6.333e-24
274,215.42,1.115e-09,0,1.115e-09,2.349e-24
275,215.47,3.585e-09,0,3.585e-09,8e-25
276,215.52,1.036e-08,0,1.036e-08,2.4950000000000003e-25
277,215.57,2.6889999999999995e-08,0,2.6889999999999995e-08,7.113999999999999e-26
278,215.62,6.271e-08,0,6.271e-08,1.85e-26
279,215.67,1.314e-07,0,1.314e-07,4.377000000000001e-27
280,215.72,2.472e-07,0,2.472e-07,9.404999999999999e-28
281,215.77,4.1799999999999996e-07,0,4.1799999999999996e-07,1.832e-28
282,215.82,6.349000000000001e-07,0,6.349000000000001e-07,3.228e-29
283,215.87,8.663e-07,0,8.663e-07,5.142e-30
284,215.92,1.062e-06,0,1.062e-06,7.3909999999999995e-31
285,215.97,1.1690000000000002e-06,0,1.1690000000000002e-06,9.58e-32
286,216.02,1.157e-06,0,1.157e-06,1.1189999999999999e-32
287,216.07,1.028e-06,0,1.028e-06,1.176e-33
288,216.12,8.211e-07,0,8.211e-07,1.112e-34
289,216.17,5.89e-07,0,5.89e-07,9.455e-36
290,216.22,3.7950000000000003e-07,0,3.7950000000000003e-07,7.184e-37
291,216.27,2.197e-07,0,2.197e-07,4.819e-38
292,216.32,1.143e-07,0,1.143e-07,2.9899999999999996e-39
293,216.37,5.339e-08,0,5.339e-08,0
294,216.42,2.241e-08,0,2.241e-08,0
295,216.47,8.450999999999999e-09,0,8.450999999999999e-09,0
296,216.52,2.863e-09,0,2.863e-09,0
297,216.57,8.713e-10,0,8.713e-10,0
298,216.62,2.3819999999999996e-10,0,2.3819999999999996e-10,0
299,216.67,5.851e-11,0,5.851e-11,0
300,216.72,1.291e-11,0,1.291e-11,0
301,216.77,2.5590000000000003e-12,0,2.5590000000000003e-12,0
302,216.82,4.557e-13,0,4.557e-13,0
303,216.87,7.291e-14,0,7.291e-14,0
304,216.92,1.048e-14,0,1.048e-14,0
305,216.97,1.3560000000000001e-15,0,1.3560000000000001e-15,0
306,217.02,1.706e-16,0,1.706e-16,0
307,217.07,7.758000000000001e-17,0,7.758000000000001e-17,0
308,217.12,2.48e-16,0,2.48e-16,0
309,217.17,8.933e-16,0,8.933e-16,0
310,217.22,2.915e-15,0,2.915e-15,0
311,217.27,8.567e-15,0,8.567e-15,0
312,217.32,2.267e-14,0,2.267e-14,0
313,217.37,5.4039999999999996e-14,0,5.4039999999999996e-14,0
314,217.42,1.16e-13,0,1.16e-13,0
315,217.47,2.242e-13,0,2.242e-13,0
316,217.52,3.903e-13,0,3.903e-13,0
317,217.57,6.119e-13,0,6.119e-13,0
318,217.62,8.641e-13,0,8.641e-13,0
319,217.67,1.099e-12,0,1.099e-12,0
320,217.72,1.2590000000000002e-12,0,1.2590000000000002e-12,0
321,217.77,1.2990000000000002e-12,0,1.2990000000000002e-12,0
322,217.82,1.207e-12,0,1.207e-12,0
323,217.87,1.0109999999999998e-12,0,1.0109999999999998e-12,0
324,217.92,7.621e-13,0,7.621e-13,0
325,217.97,5.176e-13,0,5.176e-13,0
326,218.02,3.167e-13,0,3.167e-13,0
327,218.07,1.746e-13,0,1.746e-13,0
328,218.12,8.667e-14,0,8.667e-14,0
329,218.17,3.8760000000000003e-14,0,3.8760000000000003e-14,0
330,218.22,1.5619999999999997e-14,0,1.5619999999999997e-14,0
331,218.27,5.668e-15,0,5.668e-15,0
332,218.32,1.853e-15,0,1.853e-15,0
