Wavelength;Al;Bb;Ca;Cc;Cll;Ff;Kk;li;Na;Nn;Oo;Ti;;
211.42;42.85;97650.0;1,77E-14;0,00619;0;0;0.00043650000000000004;43308;5,6E-23;0,00848;1.35e-11;0,0000045;;
211.47;101.1;119300.0;2,21E-15;0,0136;0;0;0.00028480000000000004;24.14;2,67E-34;0,00586;4,18E-08;0,0000291;;
211.52;213.2;130800.0;5,16E-16;2.69e-05;0;0;0.00021659999999999998;19.84;1,13E-20;0,00369;0,000000115;0,000171;;
211.57;402.4;128600.0;2,44E-15;0,0476;0;0;0.0001754;15.35;4,3E-20;0,00212;2840000;0,000904;;
211.62;679.4;113400.0;1,88E-14;0,0757;0;0;0.00013759999999999998;29891;1,46E-32;0,0011;0,000000625;0,00433;;
211.67;1026.0;89590.0;1,31E-13;0.0001079;0;0;0,0994;41548;4,39E-32;0,000518;12300000;1.88e-05;;
211.72;1387.0;63430.0;1,06E-08;0.0001384;0;0;0,0648;28764;1,18E-31;0,00022;0,00000215;0,0738;;
211.77;1678.0;40220.0;0,000000169;0.00016;0;0;0,0379;13.79;2,85E-18;0,0000844;0,00000335;0.0002624;;
211.82;1820.0;22830.0;0,0000024;0.00016680000000000002;0;0;0,0198;18.69;6,11E-19;0,0000291;0,00000466;0.0008441000000000001;;
211.87;1778.0;11600.0;0,0000305;0.0001574;0;0;0,0092;24.52;1,17E-30;0,00000899;57900000;0.002457;;
211.92;1587.0;5272.0;0,000347;0.0001348;0;0;0,00383;29.97;2E-30;24900000;0,00000642;0.006470999999999999;;
211.97;1344.0;2143.0;0,00352;0.0001053;0;0;1.42e-06;33.64;3,05E-17;6.2e-10;0,00000635;0.015430000000000001;;
212.02;1180.0;778.7;0,0319;0,0753;0;0;4.7e-07;34.54;4,15E-30;1.38e-10;0,0000056;0.033280000000000004;;
212.07;1211.0;252.9;0.000258;4.95e-05;0;0;0,000139;32.4;5,05E-30;275000;0,0000044;0.06497;;
212.12;1498.0;73.39;0.001865;0,0301;0;0;0,0000366;27.74;5,51E-30;4,89E-09;30900000;0.1148;;
212.17;2018.0;43150;0.01204;0,0169;0;0;8610000;21.69;5,45E-17;7,79E-10;0,00000194;0.1835;;
212.22;2654.0;4404;0.06942000000000001;8840000000;0;0;18100000;15.51;5,03E-18;1,11E-10;0,00000109;0.2655;;
212.27;3226.0;0.9103;0.3575;0,00428;0;0;0,000000338;44470;4,65E-30;141;566000;0.3477;;
212.32;3546.0;0.168;1,644E+16;1.92e-06;0;0;5.65e-11;6369;4,81E-30;16;3.19e-10;0.412;;
212.37;3502.0;0.02767;6754;7.95e-07;0;0;8,42E-09;4177;5,98E-17;1,62;0,000000308;0.4419;;
212.42;3101.0;0.004069;24.78;0,000303;0;0;1.12e-12;3658;8,4E-30;1,47E-14;0,000000542;0.4288;;
212.47;2464.0;0.0005338;81.2;0,000106;0;0;1.33e-13;31138;1,2E-16;0,0119;0,0000011;0.3766;;
212.52;1771.0;6.25e-05;237.6;0,0000337;0;0;141;31959;1,64E-16;8.59e-20;0,00000207;0.2993;;
