,Wavelength,Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
1784,292.54,7.056e-08,0,0,7.056e-08
1785,292.59,6.025e-08,0,0,6.025e-08
1786,292.64,4.853e-08,0,0,4.853e-08
1787,292.69,3.687e-08,0,0,3.687e-08
1788,292.74,2.6419999999999998e-08,0,0,2.6419999999999998e-08
1789,292.79,1.786e-08,0,0,1.786e-08
1790,292.84,1.1379999999999998e-08,0,0,1.1379999999999998e-08
1791,292.89,6.845e-09,0,0,6.845e-09
1792,292.94,3.882e-09,0,0,3.882e-09
1793,292.99,2.0769999999999998e-09,0,0,2.0769999999999998e-09
1794,293.04,1.048e-09,0,0,1.048e-09
1795,293.09,4.986999999999999e-10,0,0,4.986999999999999e-10
1796,293.14,2.2380000000000002e-10,0,0,2.2380000000000002e-10
1797,293.19,9.477e-11,0,0,9.477e-11
1798,293.24,3.7850000000000004e-11,0,0,3.7850000000000004e-11
1799,293.29,1.426e-11,0,0,1.426e-11
1800,293.35,4.089e-12,0,0,4.089e-12
1801,293.4,1.354e-12,0,0,1.354e-12
1802,293.45,4.23e-13,0,0,4.23e-13
1803,293.5,1.246e-13,0,0,1.246e-13
1804,293.55,3.464e-14,0,0,3.464e-14
1805,293.6,9.08e-15,0,0,9.08e-15
1806,293.65,2.245e-15,0,0,2.245e-15
1807,293.7,5.236000000000001e-16,0,0,5.236000000000001e-16
1808,293.75,1.152e-16,0,0,1.152e-16
1809,293.8,2.389e-17,0,0,2.389e-17
1810,293.85,4.675e-18,0,0,4.675e-18
1811,293.9,8.629000000000001e-19,0,0,8.629000000000001e-19
1812,293.95,1.5019999999999998e-19,0,0,1.5019999999999998e-19
1813,294.0,2.4670000000000004e-20,0,0,2.4670000000000004e-20
1814,294.05,3.82e-21,0,0,3.82e-21
1815,294.1,5.581000000000001e-22,0,0,5.581000000000001e-22
1816,294.15,7.690000000000001e-23,0,0,7.690000000000001e-23
1817,294.2,9.993000000000001e-24,0,0,9.993000000000001e-24
1818,297.05,1.765e-23,0,0,1.765e-23
1819,297.1,1.302e-22,0,0,1.302e-22
1820,297.15,9.268e-22,0,0,9.268e-22
1821,297.2,6.122999999999999e-21,0,0,6.122999999999999e-21
1822,297.25,3.8260000000000005e-20,0,0,3.8260000000000005e-20
1823,297.3,2.261e-19,0,0,2.261e-19
1824,297.35,1.263e-18,0,0,1.263e-18
1825,297.4,6.675e-18,0,0,6.675e-18
1826,297.45,3.336e-17,0,0,3.336e-17
1827,297.5,1.577e-16,0,0,1.577e-16
1828,297.55,7.047999999999999e-16,0,0,7.047999999999999e-16
1829,297.6,2.98e-15,0,0,2.98e-15
1830,297.65,1.191e-14,0,0,1.191e-14
1831,297.7,2.129e-13,1.679e-13,0,4.505e-14
1832,297.75,1.3759999999999998e-12,1.2139999999999999e-12,0,1.611e-13
1833,297.8,8.855e-12,8.309e-12,0,5.451e-13
1834,297.85,5.5520000000000006e-11,5.3770000000000005e-11,0,1.744e-12
