,Wavelength,Sum,Cl I (8.1e-01),Cl II (1.9e-01),Cl III (2.8e-07)
4838,494.46,0.00021519999999999997,0,0.00021519999999999997,0
4839,494.51,0.00015519999999999998,0,0.00015519999999999998,0
4840,494.56,0.0001097,0,0.0001097,0
4841,494.61,7.594e-05,0,7.594e-05,0
4842,494.66,5.152e-05,3.044e-16,5.152e-05,0
4843,494.71,3.424e-05,1.0119999999999999e-15,3.424e-05,0
4844,494.76,2.23e-05,3.296e-15,2.23e-05,0
4845,494.81,1.423e-05,1.052e-14,1.423e-05,0
4846,494.86,8.893e-06,3.293e-14,8.893e-06,0
4847,494.91,5.446e-06,1.01e-13,5.446e-06,0
4848,494.96,3.2680000000000003e-06,3.034e-13,3.2680000000000003e-06,0
4849,495.01,1.922e-06,8.934e-13,1.922e-06,0
4850,495.06,1.11e-06,2.579e-12,1.11e-06,0
4851,495.11,6.326e-07,7.293e-12,6.325e-07,0
4852,495.16,3.632e-07,2.022e-11,3.632e-07,0
4853,495.21,2.252e-07,5.4909999999999994e-11,2.252e-07,0
4854,495.26,1.78e-07,1.462e-10,1.779e-07,0
4855,495.31,2.1030000000000002e-07,3.814e-10,2.1e-07,0
4856,495.36,3.394e-07,9.752000000000001e-10,3.384e-07,0
4857,495.41,6.183e-07,2.443e-09,6.158e-07,0
4858,495.46,1.153e-06,6e-09,1.147e-06,0
4859,495.51,2.132e-06,1.4439999999999999e-08,2.117e-06,0
4860,495.56,3.8769999999999995e-06,3.406e-08,3.843e-06,0
4861,495.61,6.919e-06,7.871000000000001e-08,6.84e-06,0
4862,495.66,1.211e-05,1.7829999999999998e-07,1.193e-05,0
4863,495.71,2.08e-05,3.958e-07,2.04e-05,0
4864,495.76,3.505e-05,8.61e-07,3.419e-05,0
4865,495.81,5.797e-05,1.8359999999999999e-06,5.614e-05,0
4866,495.86,9.417e-05,3.836e-06,9.033e-05,0
4867,495.91,0.00015030000000000002,7.854e-06,0.00014240000000000002,0
4868,495.96,0.0002359,1.576e-05,0.0002201,0
4869,496.01,0.0003643,3.099e-05,0.0003333,0
4870,496.06,0.0005543999999999999,5.974e-05,0.0004946000000000001,0
4871,496.11,0.0008321,0.00011279999999999999,0.0007193,0
4872,496.16,0.001234,0.0002089,0.001025,0
4873,496.21,0.0018100000000000002,0.0003789,0.001431,0
4874,496.26,0.002633,0.0006735,0.001959,0
4875,496.31,0.0038009999999999997,0.001173,0.002627,0
4876,496.36,0.005457,0.0020039999999999997,0.003453,0
4877,496.41,0.0078,0.003353,0.0044469999999999996,0
4878,496.46,0.01111,0.005497999999999999,0.005613,0
4879,496.51,0.015780000000000002,0.008836,0.006942,0
