,Wavelength,Sum,F II (1.0e+00),F III (1.8e-11)
1334,443.09,3.604e-11,3.604e-11,0
1335,443.14,7.937999999999999e-11,7.937999999999999e-11,0
1336,443.19,1.7049999999999998e-10,1.7049999999999998e-10,0
1337,443.24,3.5710000000000004e-10,3.5710000000000004e-10,0
1338,443.29,7.293e-10,7.293e-10,0
1339,443.34,1.453e-09,1.453e-09,0
1340,443.39,2.822e-09,2.822e-09,0
1341,443.44,5.3459999999999995e-09,5.3459999999999995e-09,0
1342,443.49,9.876e-09,9.876e-09,0
1343,443.54,1.7790000000000002e-08,1.7790000000000002e-08,0
1344,443.59,3.126e-08,3.126e-08,0
1345,443.64,5.357e-08,5.357e-08,0
1346,443.69,8.952e-08,8.952e-08,0
1347,443.74,1.459e-07,1.459e-07,0
1348,443.79,2.319e-07,2.319e-07,0
1349,443.84,3.594e-07,3.594e-07,0
1350,443.89,5.433e-07,5.433e-07,0
1351,443.94,8.008e-07,8.008e-07,0
1352,443.99,1.1509999999999999e-06,1.1509999999999999e-06,0
1353,444.04,1.6140000000000001e-06,1.6140000000000001e-06,0
1354,444.09,2.207e-06,2.207e-06,0
1355,444.14,2.943e-06,2.943e-06,0
1356,444.19,3.827e-06,3.827e-06,0
1357,444.24,4.854e-06,4.854e-06,0
1358,444.29,6.003e-06,6.003e-06,0
1359,444.34,7.241000000000001e-06,7.241000000000001e-06,0
1360,444.39,8.517999999999999e-06,8.517999999999999e-06,0
1361,444.44,9.772e-06,9.772e-06,0
1362,444.49,1.093e-05,1.093e-05,0
1363,444.54,1.193e-05,1.193e-05,0
1364,444.59,1.269e-05,1.269e-05,0
1365,444.64,1.317e-05,1.317e-05,0
1366,444.69,1.333e-05,1.333e-05,0
1367,444.74,1.316e-05,1.316e-05,0
1368,444.79,1.267e-05,1.267e-05,0
1369,444.84,1.189e-05,1.189e-05,0
1370,444.89,1.089e-05,1.089e-05,0
1371,444.94,9.722000000000001e-06,9.722000000000001e-06,0
1372,444.99,8.465e-06,8.465e-06,0
1373,445.04,7.189e-06,7.189e-06,0
1374,445.09,5.954e-06,5.954e-06,0
1375,445.14,4.809e-06,4.809e-06,0
1376,445.19,3.788e-06,3.788e-06,0
1377,445.24,2.91e-06,2.91e-06,0
1378,445.29,2.18e-06,2.18e-06,0
1379,445.34,1.593e-06,1.593e-06,0
1380,445.39,1.135e-06,1.135e-06,0
1381,445.44,7.884999999999999e-07,7.884999999999999e-07,0
1382,445.49,5.343e-07,5.343e-07,0
1383,445.54,3.531e-07,3.531e-07,0
1384,445.59,2.2760000000000003e-07,2.2760000000000003e-07,0
1385,445.64,1.431e-07,1.431e-07,0
1386,445.69,8.769e-08,8.769e-08,0
1387,445.74,5.242000000000001e-08,5.242000000000001e-08,0
1388,445.79,3.0560000000000004e-08,3.0560000000000004e-08,0
1389,445.84,1.738e-08,1.738e-08,0
