,Wavelength,Sum,Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
3540,402.58,4.0869999999999994e-19,4.0869999999999994e-19,0,0
3541,402.63,1.4060000000000002e-19,1.4060000000000002e-19,0,0
3542,402.68,4.6879999999999994e-20,4.6879999999999994e-20,0,0
3543,402.73,1.516e-20,1.516e-20,0,0
3544,402.78,4.7490000000000004e-21,4.7490000000000004e-21,0,0
3545,402.83,1.4419999999999999e-21,1.4419999999999999e-21,0,0
3546,402.88,4.247e-22,4.247e-22,0,0
3547,402.93,1.212e-22,1.212e-22,0,0
3548,402.98,3.354e-23,3.354e-23,0,0
3549,403.03,8.996e-24,8.996e-24,0,0
3550,403.08,2.3389999999999998e-24,2.3389999999999998e-24,0,0
3551,403.13,5.895e-25,5.895e-25,0,0
3552,403.18,1.44e-25,1.44e-25,0,0
3553,403.23,3.4099999999999995e-26,3.4099999999999995e-26,0,0
3554,403.28,7.829e-27,7.829e-27,0,0
3555,405.53,2.1269999999999995e-54,0,0,2.1269999999999995e-54
3556,405.58,9.295e-54,0,0,9.295e-54
3557,405.63,3.9419999999999996e-53,0,0,3.9419999999999996e-53
3558,405.68,1.6219999999999997e-52,0,0,1.6219999999999997e-52
3559,405.73,6.477e-52,0,0,6.477e-52
3560,405.78,2.51e-51,0,0,2.51e-51
3561,405.83,9.439e-51,0,0,9.439e-51
3562,405.88,3.445e-50,0,0,3.445e-50
3563,405.93,1.22e-49,0,0,1.22e-49
3564,405.98,4.1919999999999996e-49,0,0,4.1919999999999996e-49
3565,406.03,1.3980000000000003e-48,0,0,1.3980000000000003e-48
3566,406.08,4.524e-48,0,0,4.524e-48
3567,406.13,1.421e-47,0,0,1.421e-47
3568,406.18,4.3299999999999997e-47,0,0,4.3299999999999997e-47
3569,406.23,1.28e-46,0,0,1.28e-46
3570,406.28,2.5760000000000003e-26,0,2.5760000000000003e-26,3.674e-46
3571,406.33,1.119e-25,0,1.119e-25,1.023e-45
3572,406.38,4.722e-25,0,4.722e-25,2.7649999999999996e-45
3573,406.43,1.9330000000000002e-24,0,1.9330000000000002e-24,7.251999999999999e-45
3574,406.48,7.681e-24,0,7.681e-24,1.846e-44
3575,406.53,2.962e-23,0,2.962e-23,4.557999999999999e-44
3576,406.58,1.108e-22,0,1.108e-22,1.0920000000000001e-43
3577,406.63,4.0249999999999994e-22,0,4.0249999999999994e-22,2.5399999999999997e-43
3578,406.68,1.419e-21,0,1.419e-21,5.733e-43
3579,406.73,4.854e-21,0,4.854e-21,1.256e-42
3580,406.78,1.612e-20,0,1.612e-20,2.668e-42
3581,406.83,5.193e-20,0,5.193e-20,5.5029999999999993e-42
3582,406.88,1.6239999999999997e-19,0,1.6239999999999997e-19,1.101e-41
