Wavelength,Sum

266.81	,1207
266.86	,1508
266.91	,1146
266.96	,1324
267.01	,1635
267.06	,1390
267.11	,1178
267.16	,1374
267.21	,1646
267.26	,1900
267.31	,1197
267.36	,1382
267.41	,1589
267.46	,1310
267.51	,1278
267.56	,1369
267.61	,1357
267.67	,1183
267.72	,1311
267.77	,1250
267.82	,1228
267.87	,1443
267.92	,963
267.97	,1092
268.02	,1769
268.07	,1381
268.12	,1363
268.17	,1534
268.22	,1578
268.27	,1235
268.32	,1260
268.37	,1528
268.42	,1271
268.47	,1294
268.52	,1493
268.57	,1257
268.62	,1552
268.67	,1470
268.72	,,2123
268.77	,1235
268.82	,1246
268.87	,1229
268.92	,1731
268.97	,1302
269.02	,1145
269.07	,1278
269.12	,1454
269.17	,1776
269.22	,1503
269.27	,1525
269.32	,1327
269.37	,1154
269.42	,1142
269.47	,1504
269.52	,1512
269.57	,1380
269.62	,1533
269.67	,1128
269.72	,1490
269.77	,1201
269.82	,1210
269.87	,1049
269.92	,1168
269.97	,1112
270.02	,1460
270.07	,1374
270.12	,1532
270.17	,1623
270.22	,1460
270.27	,1291
270.32	,1109
270.37	,1369
270.42	,1323
270.47	,1211
270.52	,1467
270.57	,1461
270.62	,1350
270.67	,1208
270.72	,1597
270.77	,1130
270.82	,1558
270.87	,1586
270.92	,1022
270.97	,1437
271.02	,1425
271.07	,1464
271.12	,1345
271.17	,1648
271.22	,1608
271.27	,1181
271.32	,1742
271.37	,1381
271.42	,1450
271.47	,1271
271.52	,1356
271.57	,1444
271.62	,1266
271.67	,1104
271.72	,1249
271.77	,1301
271.82	,1888
271.87	,1370
271.92	,1358
271.97	,1277
272.02	,1784
272.07	,1237
272.12	,1371
272.17	,1528
272.22	,1704
272.27	,1947
272.32	,1440
272.37	,1486
272.42	,1474
272.47	,1479
272.52	,1439
272.57	,1651
272.62	,1209
272.67	,1540
272.72	,1253
272.77	,1522
272.82	,1797
272.87	,1633
272.92	,1376
272.97	,1433
273.02	,1355
273.07	,1351
273.12	,1562
273.17	,1613
273.22	,1594
273.27	,1498
273.32	,1233
273.37	,1490
273.42	,1392
273.47	,1164
273.52	,1165
273.57	,1373
273.62	,1285
273.67	,1363
273.72	,1670
273.77	,1449
273.82	,1550
273.87	,1321
273.92	,1105
273.97	,1646
274.02	,1458
274.07	,1378
274.12	,1342
274.17	,1449
274.22	,1911
274.27	,1320
274.32	,1425
274.37	,1142
274.42	,1292
274.47	,1422
274.52	,1554
274.57	,1355
274.62	,1723
274.67	,1887
274.72	,1329
274.77	,1408
274.81	,1759
274.86	,1406
274.91	,1593
274.96	,1457
275.01	,1564
275.06	,1686
275.11	,1755
275.16	,1409
275.21	,1576
275.26	,1793
275.31	,1413
275.36	,1664
275.41	,1512
275.46	,1555
275.51	,1712
275.56	,1465
275.61	,1364
275.66	,1289
275.71	,1545
275.76	,1443
275.81	,1566
275.86	,1689
275.91	,1348
275.96	,1625
276.01	,1729
276.06	,1520
276.11	,1258
276.16	,1437
276.21	,1642
276.26	,1475
276.31	,1266
276.36	,1444
276.41	,1300
276.46	,1362
276.51	,1201
276.56	,1420
276.6	,1520
276.65	,1607
