,Wavelength,Sum,Mean Intensity
617,233.20,92.8,2.2
618,233.25,82.3,1.8
619,233.31,83.0,1.9
620,233.36,94.6,2.2
621,233.41,110.7,2.8
622,233.46,100.5,2.4
623,233.51,79.2,1.7
624,233.57,74.1,1.6
625,233.62,73.4,1.6
626,233.67,77.2,1.7
627,233.72,85.3,1.9
628,233.78,101.4,2.4
629,233.83,115.2,3.0
630,233.88,123.8,3.3
631,233.93,111.0,2.7
632,233.99,87.5,2.0
633,234.04,88.0,2.0
634,234.09,94.5,2.2
635,234.14,102.1,2.3
636,234.20,100.5,2.3
637,234.25,90.6,2.0
638,234.30,75.7,1.6
639,234.35,69.9,1.4
640,234.40,69.8,1.5
641,234.46,83.1,1.8
642,234.51,104.3,2.4
643,234.56,123.3,3.1
644,234.61,159.3,4.2
645,234.67,182.0,5.0
646,234.72,142.9,3.8
647,234.77,108.2,2.6
648,234.82,89.0,2.1
649,234.88,84.8,1.9
650,234.93,82.4,1.8
651,234.98,87.0,2.0
652,235.03,81.9,1.8
653,235.08,69.7,1.5
654,235.14,59.3,1.2
655,235.19,55.8,1.1
656,235.24,56.5,1.1
657,235.29,58.4,1.2
658,235.35,64.9,1.4
659,235.40,72.7,1.6
660,235.45,70.7,1.5
661,235.50,62.4,1.3
662,235.56,54.6,1.1
663,235.61,54.1,1.0
664,235.66,53.2,1.1
665,235.71,57.0,1.2
666,235.76,57.8,1.1
667,235.82,53.9,1.1
668,235.87,50.1,1.0
669,235.92,50.2,1.0
670,235.97,49.8,1.0
671,236.03,50.0,1.0
672,236.08,47.9,0.9
673,236.13,52.5,1.0
674,236.18,54.4,1.1
675,236.23,54.1,1.1
676,236.29,55.7,1.1
677,236.34,53.1,1.0
678,236.39,53.6,1.1
679,236.44,51.3,1.0
680,236.49,50.9,1.0
681,236.55,51.3,1.0
682,236.60,52.7,1.0
683,236.65,53.5,1.1
684,236.70,51.7,1.0
685,236.76,55.5,1.1
686,236.81,60.2,1.3
687,236.86,61.7,1.3
688,236.91,62.1,1.3
689,236.96,62.2,1.3
690,237.02,65.0,1.4
691,237.07,69.7,1.5
692,237.12,70.8,1.5
693,237.17,75.8,1.6
694,237.22,78.2,1.7
695,237.28,84.9,1.9
696,237.33,100.0,2.3
697,237.38,121.3,3.0
698,237.43,143.3,3.9
699,237.49,162.2,4.6
700,237.54,134.2,3.4
701,237.59,106.2,2.5
702,237.64,87.8,2.0
703,237.69,80.1,1.7
704,237.75,72.9,1.5
705,237.80,70.7,1.5
706,237.85,69.9,1.5
707,237.90,65.0,1.3
708,237.95,60.9,1.2
709,238.01,58.8,1.2
710,238.06,59.7,1.2
711,238.11,53.6,1.0
712,238.16,54.2,1.1
713,238.21,55.5,1.1
714,238.27,53.7,1.1
715,238.32,53.1,1.0
716,238.37,53.7,1.0
717,238.42,55.6,1.1
718,238.47,54.8,1.1
719,238.53,53.2,1.0
720,238.58,51.5,1.0
721,238.63,49.7,0.9
722,238.68,49.6,1.0
723,238.73,52.9,1.0
724,238.79,53.5,1.0
725,238.84,48.9,0.9
726,238.89,50.9,0.9
727,238.94,51.0,1.0
728,238.99,55.1,1.1
729,239.05,52.6,1.0
730,239.10,50.5,1.0
731,239.15,50.9,0.9
732,239.20,49.1,0.9
733,239.25,49.4,0.9
734,239.31,49.9,0.9
735,239.36,49.6,1.0
736,239.41,50.5,1.0
737,239.46,51.0,1.0
738,239.51,50.2,0.9
739,239.57,50.4,1.0
740,239.62,53.4,1.0
741,239.67,54.0,1.1
742,239.72,52.4,1.0
743,239.77,52.3,1.0
744,239.83,55.3,1.1
745,239.88,54.9,1.1
746,239.93,55.8,1.1
747,239.98,55.6,1.1
748,240.03,60.4,1.2
749,240.08,61.5,1.2
750,240.14,64.4,1.3
751,240.19,70.0,1.5
752,240.24,66.9,1.4
753,240.29,58.1,1.1
754,240.34,57.6,1.1
755,240.40,59.3,1.2
756,240.45,58.1,1.1
757,240.50,60.0,1.2
758,240.55,61.6,1.3
759,240.60,65.6,1.3
760,240.66,67.3,1.4
761,240.71,67.3,1.4
762,240.76,68.5,1.4
763,240.81,72.1,1.5
764,240.86,76.6,1.6
765,240.91,81.7,1.7
766,240.97,91.7,2.0
767,241.02,104.6,2.3
768,241.07,112.7,2.6
769,241.12,116.0,2.7
770,241.17,116.7,2.7
771,241.23,157.6,3.9
772,241.28,198.3,5.1
773,241.33,243.5,6.7
774,241.38,267.5,7.6
775,241.43,216.9,5.9
776,241.48,160.3,4.0
777,241.54,141.5,3.4
778,241.59,120.6,2.8
779,241.64,107.8,2.4
780,241.69,100.8,2.2
781,241.74,96.2,2.1
782,241.80,85.4,1.9
783,241.85,81.9,1.8
784,241.90,75.4,1.6
785,241.95,72.3,1.5
786,242.00,72.8,1.5
787,242.05,64.8,1.3
788,242.11,65.7,1.3
789,242.16,64.9,1.3
790,242.21,62.7,1.2
791,242.26,67.5,1.4
792,242.31,69.5,1.5
793,242.36,71.9,1.5
794,242.42,70.1,1.4
795,242.47,61.5,1.2
796,242.52,59.5,1.2
797,242.57,56.9,1.1
798,242.62,57.9,1.1
799,242.67,58.4,1.1
800,242.73,60.0,1.2
801,242.78,57.7,1.1
802,242.83,56.7,1.1
803,242.88,56.3,1.1
804,242.93,53.8,1.0
805,242.98,54.7,1.0
806,243.04,55.2,1.1
807,243.09,55.3,1.1
808,243.14,55.7,1.0
809,243.19,55.3,1.1
810,243.24,57.6,1.2
811,243.29,57.6,1.2
812,243.35,59.5,1.2
813,243.40,59.3,1.2
814,243.45,57.5,1.1
815,243.50,57.1,1.1
816,243.55,55.7,1.1
817,243.60,52.8,1.0
818,243.66,53.4,1.1
819,243.71,55.3,1.1
820,243.76,52.3,1.0
821,243.81,56.7,1.1
822,243.86,63.6,1.3
823,243.91,78.2,1.7
824,243.97,102.7,2.4
825,244.02,105.8,2.4
826,244.07,82.2,1.7
827,244.12,68.4,1.4
828,244.17,60.8,1.2
829,244.22,65.1,1.3
830,244.27,64.0,1.3
831,244.33,58.0,1.2
832,244.38,54.8,1.0
833,244.43,56.5,1.1
834,244.48,60.7,1.2
835,244.53,54.6,1.1
836,244.58,56.4,1.1
837,244.64,58.6,1.2
838,244.69,60.1,1.2
839,244.74,64.6,1.3
840,244.79,68.0,1.4
841,244.84,68.3,1.4
842,244.89,74.0,1.5
843,244.94,97.6,2.3
844,245.00,132.2,3.2
845,245.05,130.0,3.2
846,245.10,86.3,1.9
847,245.15,71.8,1.5
848,245.20,65.4,1.3
