,Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
3181,416.38,1.3719999999999998e-09,0,0,1.3719999999999998e-09
3182,416.43,6.091e-10,0,0,6.091e-10
3183,416.48,2.626e-10,0,0,2.626e-10
3184,416.53,1.1e-10,0,0,1.1e-10
3185,416.58,4.475e-11,0,0,4.475e-11
3186,416.63,1.7690000000000002e-11,0,0,1.7690000000000002e-11
3187,416.68,6.7910000000000004e-12,0,0,6.7910000000000004e-12
3188,416.73,2.533e-12,0,0,2.533e-12
3189,416.78,9.18e-13,0,0,9.18e-13
3190,416.84,2.613e-13,0,0,2.613e-13
3191,416.89,8.886e-14,0,0,8.886e-14
3192,416.94,2.935e-14,0,0,2.935e-14
3193,416.99,9.422e-15,0,0,9.422e-15
3194,417.04,2.948e-15,0,0,2.948e-15
3195,417.09,9.263e-16,0,0,9.263e-16
3196,417.14,3.694e-16,0,0,3.694e-16
3197,417.19,3.774e-16,0,0,3.774e-16
3198,417.24,8.458000000000001e-16,0,0,8.458000000000001e-16
3199,417.29,2.191e-15,0,0,2.191e-15
3200,417.34,5.6299999999999996e-15,0,0,5.6299999999999996e-15
3201,417.39,1.409e-14,0,0,1.409e-14
3202,417.44,3.4260000000000004e-14,0,0,3.4260000000000004e-14
3203,417.49,8.1e-14,0,0,8.1e-14
3204,417.54,1.861e-13,0,0,1.861e-13
3205,417.59,4.156e-13,0,0,4.156e-13
3206,417.64,9.021e-13,0,0,9.021e-13
3207,417.69,1.903e-12,0,0,1.903e-12
3208,417.74,3.901999999999999e-12,0,0,3.901999999999999e-12
3209,417.79,7.775e-12,0,0,7.775e-12
3210,417.84,1.506e-11,0,0,1.506e-11
3211,417.89,2.8350000000000004e-11,0,0,2.8350000000000004e-11
3212,417.94,5.187e-11,0,0,5.187e-11
3213,417.99,9.223e-11,0,0,9.223e-11
3214,418.04,1.594e-10,0,0,1.594e-10
3215,418.09,2.678e-10,0,0,2.678e-10
3216,418.14,4.372e-10,0,0,4.372e-10
3217,418.19,6.937e-10,0,0,6.937e-10
3218,418.24,1.07e-09,0,0,1.07e-09
3219,418.29,1.6039999999999998e-09,0,0,1.6039999999999998e-09
3220,418.34,2.336e-09,0,0,2.336e-09
3221,418.39,3.3079999999999997e-09,0,0,3.3079999999999997e-09
3222,418.44,4.5529999999999995e-09,0,0,4.5529999999999995e-09
3223,418.49,6.09e-09,0,0,6.09e-09
3224,418.54,7.916999999999999e-09,0,0,7.916999999999999e-09
3225,418.59,1e-08,0,0,1e-08
3226,418.64,1.228e-08,0,0,1.228e-08
3227,418.69,1.466e-08,0,0,1.466e-08
3228,418.74,1.7009999999999998e-08,0,0,1.7009999999999998e-08
3229,418.79,1.918e-08,0,0,1.918e-08
3230,418.84,2.102e-08,0,0,2.102e-08
3231,418.89,2.2389999999999997e-08,0,0,2.2389999999999997e-08
3232,418.94,2.317e-08,0,0,2.317e-08
3233,418.99,2.3309999999999998e-08,0,0,2.3309999999999998e-08
3234,419.04,2.28e-08,0,0,2.28e-08
3235,419.09,2.1669999999999998e-08,0,0,2.1669999999999998e-08
3236,419.14,2.0019999999999997e-08,0,0,2.0019999999999997e-08
3237,419.19,1.7969999999999998e-08,0,0,1.7969999999999998e-08
3238,419.24,1.5680000000000002e-08,0,0,1.5680000000000002e-08
3239,419.29,1.33e-08,0,0,1.33e-08
3240,419.34,1.0959999999999999e-08,0,0,1.0959999999999999e-08
3241,419.39,8.783e-09,0,0,8.783e-09
3242,419.44,6.838999999999999e-09,0,0,6.838999999999999e-09
3243,419.49,5.1759999999999995e-09,0,0,5.1759999999999995e-09
3244,419.54,3.807e-09,0,0,3.807e-09
3245,419.59,2.722e-09,0,0,2.722e-09
3246,419.64,1.8909999999999998e-09,0,0,1.8909999999999998e-09
3247,419.69,1.277e-09,0,0,1.277e-09
3248,419.74,8.383e-10,0,0,8.383e-10
3249,419.79,5.348e-10,0,0,5.348e-10
3250,419.84,3.316e-10,0,0,3.316e-10
3251,419.89,1.9980000000000002e-10,0,0,1.9980000000000002e-10
3252,419.94,1.17e-10,0,0,1.17e-10
3253,419.99,6.662e-11,0,0,6.662e-11
3254,420.04,3.686e-11,0,0,3.686e-11
3255,420.09,1.982e-11,0,0,1.982e-11
3256,420.14,1.036e-11,0,3.1260000000000004e-16,1.036e-11
3257,420.19,5.2639999999999986e-12,0,1.421e-15,5.263e-12
3258,420.24,2.604e-12,0,5.775e-15,2.5980000000000004e-12
3259,420.29,1.2690000000000001e-12,0,2.2430000000000002e-14,1.2470000000000002e-12
3260,420.34,6.662e-13,0,8.474e-14,5.815e-13
3261,420.39,5.75e-13,0,3.114e-13,2.636e-13
3262,420.44,1.2290000000000001e-12,0,1.113e-12,1.161e-13
3263,420.49,3.918e-12,0,3.868e-12,4.973e-14
3264,420.54,1.31e-11,0,1.3079999999999998e-11,2.069e-14
3265,420.59,4.301e-11,0,4.3e-11,8.371e-15
3266,420.64,1.375e-10,0,1.375e-10,3.2909999999999996e-15
