,Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
4150,491.66,58.43,0,58.43
4151,491.71,58.19,0,58.19
4152,491.76,57.66,0,57.66
4153,491.81,56.66,0,56.66
4154,491.86,55.11,0,55.11
4155,491.91,52.97,0,52.97
4156,491.96,50.25,0,50.25
4157,492.01,47.04,0,47.04
4158,492.06,43.47,0,43.47
4159,492.11,39.71,0,39.71
4160,492.16,35.95,0,35.95
4161,492.21,32.37,0,32.37
4162,492.26,29.17,0,29.17
4163,492.31,26.51,0,26.51
4164,492.36,24.5,0,24.5
4165,492.41,23.26,0,23.26
4166,492.46,22.84,0,22.84
4167,492.51,23.27,0,23.27
4168,492.56,24.54,0,24.54
4169,492.61,26.63,0,26.63
4170,492.66,29.45,0,29.45
4171,492.71,32.91,0,32.91
4172,492.76,36.87,0,36.87
4173,492.81,41.15,0,41.15
4174,492.86,45.57,0,45.57
4175,492.91,49.92,0,49.92
4176,492.96,53.96,0,53.96
4177,493.01,57.5,0,57.5
4178,493.06,60.34,0,60.34
4179,493.11,62.32,0,62.32
4180,493.16,63.35,0,63.35
4181,493.21,63.37,0,63.37
4182,493.26,62.42,0,62.42
4183,493.31,60.55,0,60.55
4184,493.36,57.91,0,57.91
4185,493.41,54.63,0,54.63
4186,493.46,50.91,0,50.91
4187,493.51,46.91,0,46.91
4188,493.56,42.81,0,42.81
4189,493.61,38.75,0,38.75
4190,493.66,34.83,0,34.83
4191,493.71,31.14,0,31.14
4192,493.76,27.72,0,27.72
4193,493.81,24.6,0,24.6
4194,493.86,21.78,0,21.78
4195,493.91,19.24,0,19.24
4196,493.96,16.97,0,16.97
4197,494.01,14.95,0,14.95
4198,494.06,13.16,0,13.16
4199,494.11,11.59,0,11.59
4200,494.16,10.21,0,10.21
4201,494.21,9.033,0,9.033
4202,494.26,8.049,0,8.049
4203,494.31,7.266,0,7.266
4204,494.36,6.702000000000001,0,6.702000000000001
4205,494.41,6.382999999999999,0,6.382999999999999
4206,494.46,6.343999999999999,0,6.343999999999999
4207,494.51,6.631,0,6.631
4208,494.56,7.2989999999999995,0,7.2989999999999995
4209,494.61,8.408,0,8.408
4210,494.66,10.02,0,10.02
4211,494.71,12.18,0,12.18
4212,494.76,14.94,0,14.94
4213,494.81,18.3,0,18.3
4214,494.86,22.25,0,22.25
4215,494.91,26.72,0,26.72
4216,494.96,31.61,0,31.61
4217,495.01,36.76,0,36.76
4218,495.06,41.98,0,41.98
4219,495.11,47.04,0,47.04
4220,495.16,51.69,0,51.69
4221,495.21,55.68,0,55.68
4222,495.26,58.79,0,58.79
4223,495.31,60.84,0,60.84
4224,495.36,61.69,0,61.69
4225,495.41,61.31,0,61.31
4226,495.46,59.7,0,59.7
4227,495.51,56.96,0,56.96
4228,495.56,53.26,0,53.26
4229,495.61,48.79,0,48.79
4230,495.66,43.79,0,43.79
4231,495.71,38.52,0,38.52
4232,495.76,33.2,0,33.2
4233,495.81,28.04,0,28.04
4234,495.86,23.2,0,23.2
4235,495.91,18.82,0,18.82
4236,495.96,14.96,0,14.96
4237,496.01,11.66,0,11.66
4238,496.06,8.923,0,8.923
4239,496.11,6.71,0,6.71
4240,496.16,4.9719999999999995,0,4.9719999999999995
4241,496.21,3.6510000000000002,0,3.6510000000000002
4242,496.26,2.6830000000000003,0,2.6830000000000003
4243,496.31,2.006,0,2.006
4244,496.36,1.5659999999999998,0,1.5659999999999998
4245,496.41,1.314,0,1.314
4246,496.46,1.213,0,1.213
4247,496.51,1.232,0,1.232
4248,496.56,1.347,0,1.347
4249,496.61,1.5419999999999998,0,1.5419999999999998
4250,496.66,1.804,0,1.804
4251,496.71,2.122,0,2.122
4252,496.76,2.488,0,2.488
4253,496.81,2.895,0,2.895
4254,496.86,3.332,0,3.332
4255,496.91,3.79,0,3.79
4256,496.96,4.2589999999999995,0,4.2589999999999995
4257,497.01,4.724,0,4.724
4258,497.06,5.171,0,5.171
4259,497.11,5.582999999999999,0,5.582999999999999
4260,497.16,5.945,0,5.945
4261,497.21,6.2410000000000005,0,6.2410000000000005
4262,497.26,6.457000000000001,0,6.457000000000001
4263,497.31,6.586,0,6.586
4264,497.36,6.622000000000001,0,6.622000000000001
4265,497.41,6.568,0,6.568
4266,497.46,6.434,0,6.434
4267,497.51,6.2379999999999995,0,6.2379999999999995
4268,497.56,6.007000000000001,0,6.007000000000001
4269,497.61,5.774,0,5.774
4270,497.66,5.577999999999999,0,5.577999999999999
4271,497.71,5.462999999999999,0,5.462999999999999
4272,497.76,5.472,0,5.472
4273,497.81,5.649,0,5.649
4274,497.86,6.032,0,6.032
4275,497.91,6.652,0,6.652
4276,497.96,7.527,0,7.527
4277,498.01,8.66,0,8.66
4278,498.06,10.04,0,10.04
4279,498.11,11.63,0,11.63
4280,498.16,13.38,0,13.38
4281,498.21,15.21,0,15.21
4282,498.26,17.06,0,17.06
4283,498.31,18.82,0,18.82
4284,498.36,20.39,0,20.39
4285,498.41,21.69,0,21.69
4286,498.46,22.64,0,22.64
4287,498.51,23.17,0,23.17
4288,498.56,23.25,0,23.25
4289,498.61,22.88,0,22.88
4290,498.66,22.07,0,22.07
4291,498.71,20.87,0,20.87
4292,498.76,19.34,0,19.34
4293,498.81,17.57,0,17.57
4294,498.86,15.65,0,15.65
4295,498.91,13.66,0,13.66
4296,498.96,11.69,0,11.69
4297,499.01,9.808,0,9.808
4298,499.06,8.065,0,8.065
4299,499.11,6.502000000000001,0,6.502000000000001
4300,499.16,5.138,0,5.138
4301,499.21,3.9819999999999998,0,3.9819999999999998
4302,499.26,3.0269999999999997,0,3.0269999999999997
4303,499.31,2.258,0,2.258
4304,499.36,1.6569999999999998,0,1.6569999999999998
4305,499.41,1.2,0,1.2
4306,499.46,0.8648,0,0.8648
4307,499.51,0.6322,0,0.6322
4308,499.56,0.4855,0,0.4855
4309,499.61,0.4129,0,0.4129
4310,499.66,0.4075,0,0.4075
4311,499.71,0.4681,0,0.4681
4312,499.76,0.5982,0,0.5982
4313,499.81,0.8065,0,0.8065
4314,499.86,1.1059999999999999,0,1.1059999999999999
4315,499.91,1.5119999999999998,0,1.5119999999999998
4316,499.96,2.044,0,2.044
4317,500.01,2.721,0,2.721
4318,500.06,3.56,0,3.56
4319,500.11,4.579,0,4.579
4320,500.16,5.787000000000001,0,5.787000000000001
4321,500.21,7.188,0,7.188
4322,500.26,8.779,0,8.779
4323,500.31,10.55,0,10.55
4324,500.36,12.47,0,12.47
4325,500.41,14.51,0,14.51
4326,500.46,16.64,0,16.64
4327,500.51,18.82,0,18.82
4328,500.56,20.99,0,20.99
4329,500.61,23.11,0,23.11
4330,500.66,25.13,0,25.13
4331,500.71,27.01,0,27.01
4332,500.76,28.72,0,28.72
4333,500.81,30.21,0,30.21
4334,500.86,31.45,0,31.45
4335,500.91,32.42,0,32.42
4336,500.96,33.08,0,33.08
4337,501.01,33.42,0,33.42
4338,501.06,33.42,0,33.42
4339,501.11,33.07,0,33.07
4340,501.16,32.37,0,32.37
4341,501.21,31.32,0,31.32
4342,501.26,29.95,0,29.95
4343,501.31,28.31,0,28.31
4344,501.36,26.43,0,26.43
4345,501.41,24.39,0,24.39
4346,501.46,22.25,0,22.25
4347,501.51,20.09,0,20.09
4348,501.56,17.97,0,17.97
4349,501.61,15.97,0,15.97
4350,501.66,14.14,0,14.14
4351,501.71,12.51,0,12.51
4352,501.76,11.1,0,11.1
4353,501.81,9.922,0,9.922
4354,501.86,8.961,0,8.961
4355,501.91,8.192,0,8.192
4356,501.96,7.582000000000001,0,7.582000000000001
4357,502.01,7.091,0,7.091
4358,502.06,6.68,0,6.68
4359,502.11,6.313,0,6.313
4360,502.16,5.96,0,5.96
4361,502.21,5.597,0,5.597
4362,502.26,5.211,0,5.211
4363,502.31,4.796,0,4.796
4364,502.36,4.354,0,4.354
4365,502.41,3.892,0,3.892
4366,502.46,3.4219999999999997,0,3.4219999999999997
4367,502.51,2.957,0,2.957
4368,502.56,2.51,0,2.51
4369,502.61,2.092,0,2.092
4370,502.66,1.714,0,1.714
4371,502.71,1.38,0,1.38
4372,502.76,1.0959999999999999,0,1.0959999999999999
4373,502.81,0.8619,0,0.8619
4374,502.86,0.678,0,0.678
4375,502.91,0.5423,0,0.5423
4376,502.96,0.4528,0,0.4528
4377,503.01,0.4075,0,0.4075
4378,503.06,0.405,0,0.405
4379,503.11,0.4448,0,0.4448
4380,503.16,0.5272,0,0.5272
4381,503.21,0.653,0,0.653
4382,503.26,0.8235,0,0.8235
4383,503.31,1.04,0,1.04
4384,503.36,1.301,0,1.301
4385,503.41,1.607,0,1.607
4386,503.46,1.953,0,1.953
4387,503.51,2.332,0,2.332
4388,503.56,2.737,0,2.737
4389,503.61,3.154,0,3.154
4390,503.66,3.569,0,3.569
4391,503.71,3.968,0,3.968
4392,503.76,4.333,0,4.333
4393,503.81,4.651,0,4.651
4394,503.86,4.908,0,4.908
4395,503.91,5.0969999999999995,0,5.0969999999999995
4396,503.96,5.215,0,5.215
4397,504.01,5.266,0,5.266
4398,504.06,5.2620000000000005,0,5.2620000000000005
4399,504.11,5.223,0,5.223
4400,504.16,5.178,0,5.178
4401,504.21,5.164,0,5.164
4402,504.26,5.225,0,5.225
4403,504.31,5.4110000000000005,0,5.4110000000000005
4404,504.36,5.776,0,5.776
4405,504.41,6.372999999999999,0,6.372999999999999
4406,504.46,7.254,0,7.254
4407,504.51,8.462,0,8.462
4408,504.56,10.03,0,10.03
4409,504.61,11.97,0,11.97
4410,504.66,14.28,0,14.28
4411,504.71,16.92,0,16.92
4412,504.76,19.85,0,19.85
4413,504.81,22.96,0,22.96
4414,504.86,26.15,0,26.15
4415,504.91,29.3,0,29.3
4416,504.96,32.27,0,32.27
4417,505.01,34.92,0,34.92
4418,505.06,37.14,0,37.14
4419,505.11,38.83,0,38.83
4420,505.16,39.93,0,39.93
4421,505.21,40.41,0,40.41
4422,505.26,40.29,0,40.29
4423,505.31,39.65,0,39.65
4424,505.36,38.58,0,38.58
4425,505.41,37.19,0,37.19
4426,505.46,35.63,0,35.63
4427,505.51,34.03,0,34.03
4428,505.56,32.52,0,32.52
4429,505.61,31.2,0,31.2
4430,505.66,30.16,0,30.16
4431,505.71,29.43,0,29.43
4432,505.76,29.06,0,29.06
4433,505.81,29.04,0,29.04
4434,505.86,29.35,0,29.35
4435,505.91,29.96,0,29.96
4436,505.96,30.85,0,30.85
4437,506.01,31.97,0,31.97
4438,506.06,33.29,0,33.29
4439,506.11,34.75,0,34.75
4440,506.16,36.32,0,36.32
4441,506.21,37.94,0,37.94
4442,506.26,39.54,0,39.54
4443,506.31,41.05,0,41.05
4444,506.36,42.39,0,42.39
4445,506.41,43.46,0,43.46
4446,506.46,44.18,0,44.18
4447,506.51,44.46,0,44.46
4448,506.56,44.23,0,44.23
4449,506.61,43.46,0,43.46
4450,506.66,42.13,0,42.13
