Wavelength,Sum,Al I (4.9e-02),Al II (9.5e-01),Al III (7.0e-04)
570.98,1.724e-5,,,1.724e-5
571.03,1.696e-5,,,1.696e-5
571.08,1.910e-5,,,1.910e-5
571.13,2.374e-5,,,2.374e-5
571.19,3.301e-5,,,3.301e-5
571.24,4.431e-5,,,4.431e-5
571.29,5.946e-5,,,5.946e-5
571.34,7.914e-5,,,7.914e-5
571.39,1.041e-4,,,1.041e-4
571.44,1.349e-4,,,1.349e-4
571.49,1.724e-4,,,1.724e-4
571.54,2.171e-4,,,2.171e-4
571.59,2.692e-4,,,2.692e-4
571.64,3.288e-4,,,3.288e-4
571.69,3.955e-4,,,3.955e-4
571.74,4.686e-4,,,4.686e-4
571.79,5.467e-4,,,5.467e-4
571.84,6.282e-4,,,6.282e-4
571.89,7.109e-4,,,7.109e-4
571.94,7.923e-4,,,7.923e-4
571.99,8.696e-4,,,8.696e-4
572.04,9.400e-4,,,9.400e-4
572.09,1.001e-3,,,1.001e-3
572.14,1.049e-3,,,1.049e-3
572.19,1.083e-3,,,1.083e-3
572.24,1.102e-3,,,1.102e-3
572.29,1.103e-3,,,1.103e-3
572.34,1.088e-3,,,1.088e-3
572.39,1.057e-3,,,1.057e-3
572.44,1.011e-3,,,1.011e-3
572.49,9.530e-4,,,9.530e-4
572.54,8.843e-4,,,8.843e-4
572.59,8.081e-4,,,8.081e-4
572.64,7.273e-4,,,7.273e-4
572.69,6.447e-4,,,6.447e-4
572.74,5.628e-4,,,5.628e-4
572.79,4.838e-4,,,4.838e-4
572.84,4.097e-4,,,4.097e-4
572.89,3.416e-4,,,3.416e-4
572.94,2.805e-4,,,2.805e-4
572.99,2.269e-4,,,2.269e-4
573.04,1.807e-4,,,1.807e-4
573.09,1.418e-4,,,1.418e-4
573.14,1.095e-4,,,1.095e-4
573.19,8.334e-5,,,8.334e-5
573.24,6.245e-5,,,6.245e-5
573.29,4.609e-5,,,4.609e-5
573.34,3.350e-5,,,3.350e-5
573.39,2.398e-5,,,2.398e-5
573.44,1.690e-5,,,1.690e-5
573.49,1.174e-5,,,1.174e-5
573.54,8.024e-6,,,8.024e-6
573.59,5.403e-6,,,5.403e-6
573.64,3.584e-6,,,3.584e-6
573.69,2.341e-6,,,2.341e-6
573.74,1.506e-6,,,1.506e-6
573.79,9.538e-7,,,9.538e-7
573.84,5.951e-7,,,5.951e-7
573.89,3.656e-7,,,3.656e-7
573.94,2.213e-7,,,2.213e-7
573.99,1.319e-7,,,1.319e-7
574.04,7.740e-8,,,7.740e-8
574.09,4.474e-8,,,4.474e-8
574.14,2.547e-8,,,2.547e-8
574.19,1.428e-8,,,1.428e-8
574.24,7.885e-9,,,7.885e-9
574.29,4.288e-9,,,4.288e-9
574.34,2.296e-9,,,2.296e-9
574.39,1.211e-9,,,1.211e-9
574.44,6.292e-10,,,6.292e-10
574.49,3.219e-10,,,3.219e-10
574.54,1.622e-10,,,1.622e-10
574.59,8.047e-11,,,8.047e-11
574.64,3.933e-11,,,3.933e-11
574.69,1.893e-11,,,1.893e-11
574.74,8.971e-12,,,8.971e-12
574.79,4.188e-12,,,4.188e-12
574.84,1.925e-12,,,1.925e-12
574.89,8.717e-13,,,8.717e-13
574.94,3.887e-13,,,3.887e-13
574.99,1.707e-13,,,1.707e-13
575.04,7.383e-14,,,7.383e-14
575.09,3.145e-14,,,3.145e-14
575.14,1.319e-14,,,1.319e-14
575.19,5.450e-15,,,5.450e-15
575.24,2.217e-15,,,2.217e-15
575.29,8.885e-16,,,8.885e-16
575.34,3.507e-16,,,3.507e-16
575.39,1.363e-16,,,1.363e-16
575.44,5.217e-17,,,5.217e-17
575.49,1.967e-17,,,1.967e-17
575.54,7.301e-18,,,7.301e-18
575.59,2.669e-18,,,2.669e-18
575.64,9.613e-19,,,9.613e-19
575.69,3.409e-19,,,3.409e-19
581.84,4.398e-16,,4.398e-16,
581.89,1.227e-15,,1.227e-15,
581.94,3.372e-15,,3.372e-15,
581.99,9.135e-15,,9.135e-15,
582.04,2.439e-14,,2.439e-14,
582.09,6.417e-14,,6.417e-14,
582.14,1.664e-13,,1.664e-13,
582.19,4.252e-13,,4.252e-13,
582.24,1.071e-12,,1.071e-12,
582.29,2.658e-12,,2.658e-12,
582.34,6.501e-12,,6.501e-12,
582.39,1.567e-11,,1.567e-11,
582.44,3.723e-11,,3.723e-11,
582.49,8.717e-11,,8.717e-11,
582.54,2.011e-10,,2.011e-10,
582.59,4.573e-10,,4.573e-10,
582.64,1.025e-9,,1.025e-9,
582.69,2.263e-9,,2.263e-9,
582.74,4.926e-9,,4.926e-9,
582.79,1.057e-8,,1.057e-8,
582.84,2.234e-8,,2.234e-8,
582.89,4.654e-8,,4.654e-8,
582.94,9.555e-8,,9.555e-8,
582.99,1.933e-7,,1.933e-7,
583.04,3.855e-7,,3.855e-7,
583.09,7.576e-7,,7.576e-7,
583.14,1.467e-6,,1.467e-6,
583.19,2.800e-6,,2.800e-6,
583.24,5.268e-6,,5.268e-6,
583.29,9.765e-6,,9.765e-6,
583.34,1.784e-5,,1.784e-5,
583.39,3.212e-5,,3.212e-5,
583.44,5.699e-5,,5.699e-5,
583.49,9.966e-5,,9.966e-5,
583.54,1.718e-4,,1.718e-4,
583.59,2.917e-4,,2.917e-4,
583.64,4.883e-4,,4.883e-4,
583.69,8.054e-4,,8.054e-4,
583.74,1.309e-3,,1.309e-3,
583.79,2.098e-3,,2.098e-3,
583.84,3.312e-3,,3.312e-3,
583.89,5.154e-3,,5.154e-3,
583.94,7.903e-3,,7.903e-3,
583.99,1.194e-2,,1.194e-2,
584.04,1.779e-2,,1.779e-2,
584.09,2.611e-2,,2.611e-2,
584.14,3.778e-2,,3.778e-2,
584.19,5.386e-2,,5.386e-2,
584.24,7.568e-2,,7.568e-2,
584.29,1.048e-1,,1.048e-1,
584.34,1.430e-1,,1.430e-1,
584.39,1.924e-1,,1.924e-1,
584.44,2.551e-1,,2.551e-1,
584.49,3.333e-1,,3.333e-1,
584.54,4.292e-1,,4.292e-1,
584.59,5.448e-1,,5.448e-1,
584.64,6.816e-1,,6.816e-1,
584.69,8.406e-1,,8.406e-1,
584.74,1.022e+0,,1.022e+0,
584.79,1.225e+0,,1.225e+0,
584.84,1.447e+0,,1.447e+0,
584.89,1.686e+0,,1.686e+0,
584.94,1.938e+0,,1.938e+0,
584.99,2.196e+0,,2.196e+0,
585.04,2.456e+0,,2.456e+0,
585.09,2.710e+0,,2.710e+0,
585.14,2.952e+0,,2.952e+0,
585.19,3.175e+0,,3.175e+0,
585.24,3.374e+0,,3.374e+0,
585.29,3.545e+0,,3.545e+0,
585.34,3.684e+0,,3.684e+0,
585.39,3.792e+0,,3.792e+0,
585.44,3.868e+0,,3.868e+0,
585.49,3.915e+0,,3.915e+0,
585.54,3.937e+0,,3.937e+0,
585.59,3.938e+0,,3.938e+0,
585.64,3.925e+0,,3.925e+0,
585.69,3.902e+0,,3.902e+0,
585.74,3.876e+0,,3.876e+0,
585.79,3.849e+0,,3.849e+0,
585.84,3.826e+0,,3.826e+0,
585.89,3.809e+0,,3.809e+0,
585.94,3.797e+0,,3.797e+0,
585.99,3.790e+0,,3.790e+0,
586.04,3.787e+0,,3.787e+0,
586.09,3.784e+0,,3.784e+0,
586.14,3.780e+0,,3.780e+0,
