Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
243.18,9.540e+0,9.469e-5,9.540e+0
243.23,5.589e+0,4.699e-4,5.588e+0
243.28,3.011e+0,2.144e-3,3.009e+0
243.33,1.498e+0,8.998e-3,1.489e+0
243.38,7.116e-1,3.472e-2,6.768e-1
243.43,4.060e-1,1.232e-1,2.828e-1
243.48,5.107e-1,4.020e-1,1.087e-1
243.53,1.245e+0,1.206e+0,3.916e-2
243.58,3.343e+0,3.327e+0,1.569e-2
243.63,8.456e+0,8.441e+0,1.481e-2
243.68,1.973e+1,1.969e+1,3.546e-2
243.73,4.234e+1,4.224e+1,9.840e-2
243.78,8.359e+1,8.333e+1,2.572e-1
243.83,1.518e+2,1.512e+2,6.196e-1
243.88,2.535e+2,2.521e+2,1.373e+0
243.93,3.895e+2,3.867e+2,2.798e+0
243.98,5.506e+2,5.454e+2,5.244e+0
244.03,7.164e+2,7.073e+2,9.038e+0
244.08,8.579e+2,8.435e+2,1.433e+1
244.13,9.460e+2,9.251e+2,2.088e+1
244.18,9.609e+2,9.329e+2,2.800e+1
244.23,8.996e+2,8.650e+2,3.452e+1
244.28,7.768e+2,7.376e+2,3.914e+1
244.33,6.192e+2,5.784e+2,4.081e+1
244.38,4.561e+2,4.170e+2,3.914e+1
244.43,3.110e+2,2.765e+2,3.452e+1
244.48,1.966e+2,1.686e+2,2.800e+1
244.53,1.154e+2,9.450e+1,2.088e+1
244.58,6.304e+1,4.872e+1,1.433e+1
244.63,3.213e+1,2.309e+1,9.038e+0
244.68,1.531e+1,1.007e+1,5.244e+0
244.73,6.833e+0,4.035e+0,2.798e+0
244.78,2.860e+0,1.487e+0,1.373e+0
244.83,1.124e+0,5.041e-1,6.196e-1
244.88,4.143e-1,1.571e-1,2.571e-1
244.93,1.432e-1,4.503e-2,9.814e-2
244.98,4.632e-2,1.187e-2,3.445e-2
245.03,1.400e-2,2.876e-3,1.112e-2
245.08,3.942e-3,6.409e-4,3.302e-3
245.13,1.033e-3,1.313e-4,9.014e-4
245.18,2.511e-4,2.475e-5,2.263e-4
245.23,5.655e-5,4.288e-6,5.226e-5
245.28,1.178e-5,6.832e-7,1.110e-5
245.33,2.268e-6,1.001e-7,2.168e-6
245.38,4.028e-7,1.349e-8,3.893e-7
245.43,6.598e-8,1.671e-9,6.431e-8
245.48,9.963e-9,1.903e-10,9.772e-9
245.53,1.413e-9,1.994e-11,1.393e-9
245.58,4.111e-10,1.921e-12,4.092e-10
245.63,1.825e-9,1.701e-13,1.825e-9
245.68,1.282e-8,,1.282e-8
245.73,8.394e-8,,8.394e-8
245.78,5.063e-7,,5.063e-7
245.83,2.813e-6,,2.813e-6
245.88,1.440e-5,,1.440e-5
245.93,6.790e-5,,6.790e-5
245.98,2.949e-4,,2.949e-4
246.03,1.180e-3,,1.180e-3
