Wavelength,Sum
336.46,208
336.51,186
336.55,200
336.6,207
336.64,186
336.69,88
336.73,49
336.78,140
336.82,69
336.87,53
336.91,184
336.96,134
337,150
337.05,100
337.1,200
337.14,150
337.19,137
337.23,3
337.28,334
337.32,52
337.37,19
337.41,88
337.46,125
337.5,57
337.55,128
337.59,15
337.64,168
337.68,124
337.73,242
337.77,166
337.82,153
337.86,84
337.91,80
337.95,147
338,123
338.04,112
338.09,134
338.14,72
338.18,41
338.23,95
338.27,40
338.32,185
338.36,272
338.41,66
338.45,33
338.5,142
338.54,64
338.59,2
338.63,129
338.68,48
338.72,149
338.77,162
338.81,181
338.86,78
338.9,154
338.95,70
338.99,115
339.04,92
339.08,133
339.13,51
339.17,109
339.22,25
339.26,-16
339.31,64
339.35,143
339.4,142
339.44,60
339.49,54
339.53,154
339.58,139
339.62,79
339.67,64
339.71,47
339.76,95
339.8,189
339.85,87
339.89,132
339.94,79
339.98,105
340.03,66
340.07,55
340.12,104
340.16,177
340.21,56
340.25,35
340.3,-47
340.34,162
340.39,46
340.43,164
340.48,105
340.52,68
340.57,75
340.61,53
340.66,78
340.7,64
340.75,52
340.79,41
340.84,152
340.88,207
340.93,146
340.97,74
341.02,38
341.06,132
341.11,121
341.15,59
341.2,111
341.24,111
341.29,108
341.33,58
341.38,137
341.42,33
341.47,127
341.51,126
341.56,191
341.6,184
341.65,150
341.69,63
341.74,177
341.78,127
341.83,92
341.87,15
341.92,143
341.96,234
342,41
342.05,142
342.09,131
342.14,113
342.18,103
342.23,86
342.27,87
342.32,173
342.36,50
342.41,105
342.45,141
342.5,-65
342.54,70
342.59,147
342.63,100
342.68,164
342.72,33
342.77,77
342.81,187
342.86,62
342.9,44
342.95,78
342.99,98
343.04,213
343.08,73
343.12,168
343.17,153
343.21,153
343.26,218
343.3,326
343.35,76
343.39,194
343.44,124
343.48,85
343.53,167
343.57,406
343.62,111
343.66,386
343.71,370
343.75,545
343.8,487
343.84,911
343.88,741
343.93,1029
343.97,688
344.02,1237
344.06,519
344.11,1198
344.15,444
344.2,1144
344.24,530
344.29,807
344.33,437
344.38,556
344.42,434
344.46,149
344.51,173
344.55,298
344.6,174
344.64,269
344.69,200
344.73,378
344.78,289
344.82,253
344.87,212
344.91,186
344.96,123
345,492
345.04,218
345.09,58
345.13,305
345.18,247
345.22,80
345.27,191
345.31,93
345.36,262
345.4,253
345.45,200
345.49,89
345.53,192
345.58,219
345.62,196
345.67,170
345.71,308
345.76,132
345.8,189
345.85,118
345.89,159
345.94,62
345.98,196
346.02,60
346.07,153
346.11,193
346.16,241
346.2,58
346.25,294
346.29,194
346.34,202
346.38,6
346.42,213
346.47,151
346.51,105
346.56,91
346.6,145
346.65,158
346.69,147
346.74,112
346.78,99
346.82,86
346.87,59
346.91,63
346.96,42
347,123
347.05,143
347.09,53
347.14,345
347.18,119
347.22,27
347.27,39
347.31,176
347.36,88
347.4,203
347.45,17
347.49,203
347.53,18
347.58,102
347.62,87
347.67,212
347.71,109
347.76,169
347.8,81
347.85,179
347.89,124
347.93,92
347.98,72
348.02,200
348.07,147
348.11,58
348.16,40
348.2,142
348.24,-74
348.29,259
348.33,63
348.38,160
348.42,85
348.47,175
348.51,113
348.55,155
348.6,132
348.64,150
348.69,207
348.73,190
348.78,97
348.82,198
348.86,145
348.91,77
348.95,27
349,52
349.04,99
349.08,254
349.13,120
349.17,205
349.22,16
349.26,271
349.31,157
349.35,146
349.39,50
349.44,208
349.48,61
349.53,302
349.57,83
349.62,203
349.66,92
349.7,170
349.75,147
349.79,161
349.84,147
349.88,152
349.92,61
349.97,17
350.01,146
350.06,129
350.1,252
350.15,250
350.19,146
350.23,143
