Wavelength,Sum,Mg I (3.8e-02),Mg II (9.5e-01),Mg III (8.2e-03)
439.89,5.127e+0,7.020e-3,5.120e+0,
439.94,3.296e+0,1.220e-2,3.284e+0,
439.99,2.073e+0,2.067e-2,2.053e+0,
440.04,1.284e+0,3.412e-2,1.250e+0,
440.09,7.967e-1,5.490e-2,7.418e-1,
440.14,5.150e-1,8.610e-2,4.289e-1,
440.19,3.733e-1,1.316e-1,2.417e-1,
440.24,3.287e-1,1.960e-1,1.327e-1,
440.29,3.556e-1,2.846e-1,7.098e-2,
440.34,4.397e-1,4.027e-1,3.700e-2,
440.39,5.741e-1,5.553e-1,1.879e-2,
440.44,7.557e-1,7.464e-1,9.300e-3,
440.49,9.821e-1,9.777e-1,4.485e-3,
440.54,1.250e+0,1.248e+0,2.107e-3,
440.59,1.554e+0,1.553e+0,9.649e-4,
440.64,1.884e+0,1.883e+0,4.305e-4,
440.69,2.226e+0,2.226e+0,1.872e-4,
440.74,2.564e+0,2.564e+0,7.929e-5,
440.79,2.878e+0,2.878e+0,3.276e-5,
440.84,3.149e+0,3.149e+0,1.327e-5,
440.89,3.359e+0,3.359e+0,5.441e-6,
440.94,3.491e+0,3.491e+0,2.711e-6,
440.99,3.536e+0,3.536e+0,2.625e-6,
441.04,3.491e+0,3.491e+0,4.968e-6,
441.09,3.359e+0,3.359e+0,1.149e-5,
441.14,3.149e+0,3.149e+0,2.694e-5,
441.19,2.878e+0,2.878e+0,6.195e-5,
441.24,2.564e+0,2.564e+0,1.390e-4,
441.29,2.226e+0,2.226e+0,3.041e-4,
441.34,1.884e+0,1.883e+0,6.486e-4,
441.39,1.554e+0,1.553e+0,1.348e-3,
441.44,1.251e+0,1.248e+0,2.733e-3,
441.49,9.831e-1,9.777e-1,5.399e-3,
441.54,7.568e-1,7.464e-1,1.040e-2,
441.59,5.748e-1,5.553e-1,1.952e-2,
441.64,4.384e-1,4.027e-1,3.573e-2,
441.69,3.483e-1,2.846e-1,6.375e-2,
441.74,3.069e-1,1.960e-1,1.109e-1,
441.79,3.196e-1,1.316e-1,1.880e-1,
441.84,3.969e-1,8.610e-2,3.108e-1,
441.89,5.558e-1,5.490e-2,5.009e-1,
441.94,8.211e-1,3.412e-2,7.869e-1,
441.99,1.226e+0,2.067e-2,1.205e+0,
442.04,1.813e+0,1.220e-2,1.800e+0,
442.09,2.629e+0,7.020e-3,2.622e+0,
442.14,3.728e+0,3.936e-3,3.724e+0,
442.19,5.162e+0,2.151e-3,5.160e+0,
442.24,6.974e+0,1.146e-3,6.973e+0,
442.29,9.196e+0,5.949e-4,9.195e+0,
442.34,1.184e+1,3.010e-4,1.184e+1,
442.39,1.488e+1,1.484e-4,1.488e+1,
442.44,1.828e+1,7.132e-5,1.828e+1,
442.49,2.196e+1,3.341e-5,2.196e+1,
442.54,2.583e+1,1.525e-5,2.583e+1,
442.59,2.979e+1,6.785e-6,2.979e+1,
442.64,3.375e+1,2.942e-6,3.375e+1,
442.69,3.763e+1,1.243e-6,3.763e+1,
442.74,4.140e+1,5.121e-7,4.140e+1,
442.79,4.509e+1,2.056e-7,4.509e+1,
442.84,4.876e+1,8.044e-8,4.876e+1,
442.89,5.249e+1,3.067e-8,5.249e+1,
442.94,5.642e+1,1.140e-8,5.642e+1,
442.99,6.063e+1,4.128e-9,6.063e+1,
443.04,6.519e+1,1.457e-9,6.519e+1,
443.09,7.008e+1,5.014e-10,7.008e+1,
443.14,7.520e+1,1.681e-10,7.520e+1,
443.19,8.034e+1,5.494e-11,8.034e+1,
443.24,8.525e+1,1.750e-11,8.525e+1,
443.29,8.958e+1,5.432e-12,8.958e+1,
